Epoch/SVN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Epoch 1,12245.471023,14917.311975,-23053.182071,8949.231595,25327.535779,-22507.181328,-6841.188379,585.566791,14312.425497,23377.111146,-12100.003312,22692.063260,-511.559253,-13977.924167,19547.944374,-22316.351400,15131.486834,5520.505699,-18582.606068,-19434.718073,3257.872962,-8121.767570,-10997.595342,13371.518882,-8573.995606,-6800.381959,15398.057498,5287.187209,4102.328569,13828.045259,-9397.590262,-25159.123584
Epoch 2,12309.893436,14898.191466,-23081.143433,8925.974743,25300.028971,-22526.118416,-6848.666122,565.479099,14303.568849,23332.913872,-12110.322441,22721.680101,-561.997661,-13956.603614,19594.150197,-22266.174854,15110.964567,5594.847807,-18627.321692,-19476.968904,3274.495884,-8044.560245,-11056.725744,13369.056073,-8576.390351,-6758.743413,15387.890241,5208.432732,4158.787580,13885.888343,-9375.253024,-25174.520691
Epoch 3,12374.082924,14879.205869,-23108.920737,8902.868915,25272.230572,-22544.866745,-6856.058163,545.567363,14294.771514,23288.471444,-12120.710993,22750.965758,-612.657838,-13935.019032,19640.297663,-22215.761949,15090.185274,5669.047872,-18672.021961,-19518.925596,3291.009096,-7967.330354,-11115.953754,13366.558767,-8578.783661,-6716.835160,15377.812317,5129.691677,4215.425065,13943.483080,-9353.087546,-25189.572691
Epoch 4,12438.038333,14860.355530,-23136.512651,8879.913760,25244.141587,-22563.424984,-6863.365883,525.830729,14286.034752,23243.785127,-12131.169816,22779.919975,-663.539228,-13913.169813,19686.385171,-22165.114076,15069.148342,5743.104436,-18716.705351,-19560.587626,3307.413704,-7890.079594,-11175.278044,13364.028346,-8581.176949,-6674.657217,15367.824770,5050.965755,4272.240150,14000.828536,-9331.093572,-25204.279597
Epoch 5,12501.758513,14841.640787,-23163.917849,8857.108920,25215.763029,-22581.791807,-6870.590663,506.268339,14277.359818,23198.856190,-12141.699754,22808.542505,-714.641263,-13891.055360,19732.411117,-22114.232632,15047.853169,5817.016048,-18761.370335,-19601.954486,3323.710820,-7812.809662,-11234.697284,13361.466190,-8583.571628,-6632.209615,15357.928634,4972.256679,4329.231952,14057.923784,-9309.270837,-25218.641431
Epoch 6,12565.242327,14823.061967,-23191.135008,8834.454025,25187.095918,-22599.965893,-6877.733886,486.879323,14268.747961,23153.685910,-12152.301645,22836.833115,-765.963365,-13868.675085,19778.373895,-22063.119021,15026.299159,5890.781263,-18806.015381,-19643.025673,3339.901562,-7735.522252,-11294.210133,13358.873679,-8585.969108,-6589.492394,15348.124937,4893.566159,4386.399578,14114.767906,-9287.619066,-25232.658229
Epoch 7,12628.488643,14804.619389,-23218.162812,8811.948699,25158.141285,-22617.945923,-6884.796940,467.662804,14260.200423,23108.275571,-12162.976321,22864.791579,-817.504947,-13846.028409,19824.271901,-22011.774653,15004.485729,5964.398640,-18850.638958,-19683.800696,3355.987049,-7658.219060,-11353.815246,13356.252192,-8588.370799,-6546.505607,15338.414699,4814.895902,4443.742125,14171.359993,-9266.137971,-25246.330038
Epoch 8,12691.496339,14786.313360,-23244.999946,8789.592554,25128.900168,-22635.730585,-6891.781212,448.617895,14251.718443,23062.626461,-12173.724607,22892.417687,-869.265410,-13823.114763,19870.103526,-21960.200946,14982.412303,6037.866745,-18895.239529,-19724.279076,3371.968409,-7580.901780,-11413.511270,13353.603105,-8590.778108,-6503.249321,15328.798933,4736.247615,4501.258682,14227.699146,-9244.827258,-25259.656915
Epoch 9,12754.264303,14768.144181,-23271.645102,8767.385194,25099.373614,-22653.318571,-6898.688096,429.743701,14243.303251,23016.739879,-12184.547322,22919.711238,-921.244144,-13799.933590,19915.867165,-21908.399323,14960.078313,6111.184148,-18939.815556,-19764.460340,3387.846773,-7503.572104,-11473.296845,13350.927793,-8593.192440,-6459.723614,15319.278644,4657.623003,4558.948328,14283.784474,-9223.686619,-25272.638932
Epoch 10,12816.791430,14750.112141,-23298.096977,8745.326216,25069.562678,-22670.708575,-6905.518985,411.039319,14234.956073,22970.617127,-12195.445279,22946.672041,-973.440529,-13776.484339,19961.561207,-21856.371214,14937.483204,6184.349426,-18984.365498,-19804.344029,3403.623275,-7426.231725,-11533.170607,13348.227633,-8595.615200,-6415.928574,15309.854829,4579.023767,4616.810132,14339.615096,-9202.715737,-25285.276168
