Epoch/SVN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Epoch 1,9996.528083,15603.232084,-22046.554105,9829.369379,26064.787355,-21791.886219,-6566.802865,1314.369518,14617.956361,24748.506493,-11808.507330,21590.088440,1046.363901,-14523.038773,18026.719885,-23813.134426,15626.906931,3001.850547,-17127.263103,-17908.258589,2664.603969,-10638.312355,-9164.912215,13421.744282,-8494.731047,-8037.464454,15777.849889,7867.512962,2283.245440,11778.583322,-10255.903587,-24451.500065
Epoch 2,10067.917561,15579.915123,-22079.760913,9801.017701,26047.432092,-21816.246193,-6577.791709,1288.144725,14607.931826,24713.499131,-11817.044770,21630.100907,1003.454282,-14509.911632,18073.924779,-23771.373958,15614.238587,3080.027402,-17171.647191,-17959.747395,2685.388048,-10562.786841,-9220.168542,13421.192755,-8497.956553,-8004.630704,15765.367293,7789.268547,2333.376032,11844.038069,-10227.858526,-24478.244362
Epoch 3,10139.116627,15556.716737,-22112.829235,9772.823259,26029.757181,-21840.463012,-6588.651781,1262.118596,14597.922229,24678.207968,-11825.620723,21669.796301,960.310471,-14496.545413,18121.122429,-23729.335740,15601.337838,3158.112746,-17216.063657,-18010.964343,2706.029257,-10487.183079,-9275.561344,13420.561259,-8501.134026,-7971.533211,15752.936158,7710.980915,2383.708801,11909.279972,-10199.987625,-24504.649593
Epoch 4,10210.123868,15533.637574,-22145.757629,9744.786013,26011.763319,-21864.535238,-6599.384338,1236.290589,14587.928986,24642.634011,-11834.236209,21709.174007,916.932669,-14482.939210,18168.311304,-23687.020917,15588.203796,3236.104974,-17260.511104,-18061.908594,2726.528515,-10411.502752,-9331.089543,13419.851175,-8504.264890,-7938.171608,15740.557746,7632.651797,2434.243201,11974.307824,-10172.290977,-24530.715388
Epoch 5,10280.937878,15510.678273,-22178.544657,9716.905914,25993.451214,-21888.461433,-6609.990640,1210.660148,14577.953507,24606.778276,-11842.892244,21748.233423,873.321087,-14469.092127,18215.489874,-23644.430640,15574.835583,3314.002484,-17304.988133,-18112.579323,2746.886745,-10335.747543,-9386.752049,13419.063883,-8507.350569,-7904.545536,15728.233307,7554.282924,2484.978676,12039.120431,-10144.768665,-24556.441390
Epoch 6,10351.557259,15487.839464,-22211.188881,9689.182904,25974.821582,-21912.240164,-6620.471956,1185.226709,14567.997199,24570.641787,-11851.589840,21786.973956,829.475948,-14455.003276,18262.656601,-23601.566070,15561.232326,3391.803681,-17349.493337,-18162.975709,2767.104879,-10259.919137,-9442.547766,13418.200765,-8510.392490,-7870.654649,15715.964091,7475.876028,2535.914660,12103.716603,-10117.420762,-24581.827254
Epoch 7,10421.980620,15465.121768,-22243.688870,9661.616914,25955.875150,-21935.869999,-6630.829554,1159.989699,14558.061466,24534.225576,-11860.330003,21825.395025,785.397484,-14440.671777,18309.809947,-23558.428374,15547.393164,3469.506969,-17394.025309,-18213.096946,2787.183855,-10184.019220,-9498.475590,13417.263202,-8513.392079,-7836.498614,15703.751337,7397.432841,2587.050577,12168.095158,-10090.247328,-24606.872644
Epoch 8,10492.206577,15442.525797,-22276.043190,9634.207866,25936.612654,-21959.349510,-6641.064711,1134.948533,14548.147706,24497.530684,-11869.113735,21863.496059,741.085940,-14426.096759,18356.948370,-23515.018729,15533.317239,3547.110757,-17438.582631,-18262.942232,2807.124615,-10108.049480,-9554.534408,13416.252579,-8516.350763,-7802.077105,15691.596283,7318.955095,2638.385841,12232.254923,-10063.248414,-24631.577239
Epoch 9,10562.233752,15420.052154,-22308.250414,9606.955673,25917.034840,-21982.677270,-6651.178707,1110.102618,14538.257317,24460.558159,-11877.942034,21901.276499,696.541570,-14411.277360,18404.070325,-23471.338321,15519.003705,3624.613461,-17483.163887,-18312.510778,2826.928111,-10032.011605,-9610.723098,13415.170279,-8519.269968,-7767.389813,15679.500155,7240.444523,2689.919856,12296.194732,-10036.424061,-24655.940727
Epoch 10,10632.060776,15397.701434,-22340.309116,9579.860237,25897.142464,-22005.851856,-6661.172825,1085.451348,14528.391690,24423.309057,-11886.815894,21938.735796,651.764641,-14396.212727,18451.174265,-23427.388341,15504.451722,3702.013497,-17527.767651,-18361.801803,2846.595299,-9955.907285,-9667.040532,13414.017688,-8522.151124,-7732.436436,15667.464179,7161.902858,2741.652015,12359.913426,-10009.774298,-24679.962808
Epoch 11,10701.686286,15375.474221,-22372.217873,9552.921454,25876.936292,-22028.871846,-6671.048355,1060.994112,14518.552213,24385.784443,-11895.736301,21975.873411,606.755428,-14380.902014,18498.258637,-23383.169991,15489.660460,3779.309287,-17572.392495,-18410.814535,2866.127142,-9879.738211,-9723.485572,13412.796191,-8524.995657,-7697.216686,15655.489570,7083.331833,2793.581701,12423.409855,-9983.299143,-24703.643194
Epoch 12,10771.108928,15353.371090,-22403.975265,9526.139205,25856.417098,-22051.735822,-6680.806591,1036.730285,14508.740270,24347.985389,-11904.704241,22012.688819,561.514221,-14365.344386,18545.321889,-23338.684479,15474.629095,3856.499255,-17617.036986,-18459.548214,2885.524610,-9803.506075,-9780.057073,13411.507175,-8527.804996,-7661.730286,15643.577540,7004.733179,2845.708288,12486.682876,-9956.998606,-24726.981608
Epoch 13,10840.327353,15331.392608,-22435.579875,9499.513367,25835.585668,-22074.442368,-6690.448828,1012.659233,14498.957240,24309.912975,-11913.720690,22049.181504,516.041317,-14349.539016,18592.362465,-23293.933023,15459.356813,3933.581832,-17661.699687,-18508.002086,2904.788677,-9727.212570,-9836.753882,13410.152026,-8530.580569,-7625.976970,15631.729293,6926.108632,2898.031138,12549.731354,-9930.872684,-24749.977786
Epoch 14,10909.340223,15309.539333,-22467.030287,9473.043804,25814.442796,-22096.990073,-6699.976370,988.780315,14489.204500,24271.568291,-11922.786623,22085.350960,470.337026,-14333.485085,18639.378804,-23248.916847,15443.842808,4010.555451,-17706.379157,-18556.175408,2923.920326,-9650.859391,-9893.574839,13408.732131,-8533.323806,-7589.956485,15619.946027,6847.459922,2950.549607,12612.554162,-9904.921364,-24772.631474
Epoch 15,10978.146203,15287.811812,-22498.325092,9446.730372,25792.989285,-22119.377526,-6709.390521,965.092877,14479.483419,24232.952431,-11931.903009,22121.196694,424.401669,-14317.181783,18686.369346,-23203.637185,15428.086281,4087.418549,-17751.073949,-18604.067448,2942.920545,-9574.448231,-9950.518773,13407.248880,-8536.036136,-7553.668587,15608.228934,6768.788783,3003.263035,12675.150182,-9879.144622,-24794.942429
Epoch 16,11046.743970,15266.210585,-22529.462880,9420.572918,25771.225950,-22141.603321,-6718.692592,941.596257,14469.795366,24194.066501,-11941.070810,22156.718223,378.235575,-14300.628312,18733.332526,-23158.095276,15412.086443,4164.169569,-17795.782613,-18651.677481,2961.790326,-9497.980787,-10007.584509,13405.703660,-8538.718986,-7517.113048,15596.579199,6690.096946,3056.170757,12737.518301,-9853.542425,-24816.910422
Epoch 17,11115.132205,15244.736182,-22560.442248,9394.571278,25749.153613,-22163.666053,-6727.883897,918.289783,14460.141703,24154.911610,-11950.290988,22191.915074,331.839089,-14283.823878,18780.266777,-23112.292369,15395.842513,4240.806956,-17840.503695,-18699.004794,2980.530670,-9421.458754,-10064.770863,13404.097859,-8541.373786,-7480.289647,15584.998000,6611.386145,3109.272096,12799.657417,-9828.114727,-24838.535233
Epoch 18,11183.309598,15223.389122,-22591.261793,9368.725278,25726.773105,-22185.564324,-6736.965753,895.172773,14450.523788,24115.488880,-11959.564493,22226.786789,285.212562,-14266.767701,18827.170530,-23066.229720,15379.353718,4317.329161,-17885.235737,-18746.048681,2999.142583,-9344.883830,-10122.076640,13402.432866,-8544.001965,-7443.198178,15573.486512,6532.658110,3162.566365,12861.566435,-9802.861474,-24859.816655
Epoch 19,11251.274848,15202.169917,-22621.920116,9343.034739,25704.085270,-22207.296734,-6745.939482,872.244537,14440.942975,24075.799437,-11968.892276,22261.332916,238.356358,-14249.459007,18874.042213,-23019.908593,15362.619293,4393.734638,-17929.977275,-18792.808449,3017.627076,-9268.257712,-10179.500643,13400.710071,-8546.604950,-7405.838445,15562.045898,6453.914574,3216.052867,12923.244268,-9777.782599,-24880.754493
Epoch 20,11319.026661,15181.079069,-22652.415823,9317.499467,25681.090958,-22228.861891,-6754.806409,849.504374,14431.400612,24035.844416,-11978.275280,22295.553017,191.270852,-14231.897031,18920.880253,-22973.330259,15345.638482,4470.021848,-17974.726842,-18839.283412,3035.985167,-9191.582098,-10237.041664,13398.930863,-8549.184170,-7368.210265,15550.677320,6375.157266,3269.730896,12984.689838,-9752.878026,-24901.348561
Epoch 21,11386.563749,15160.117070,-22682.747522,9292.119262,25657.791029,-22250.258404,-6763.567864,826.951573,14421.898043,23995.624958,-11987.714442,22329.446666,143.956430,-14214.081020,18967.683073,-22926.495997,15328.410539,4546.189253,-18019.482970,-18885.472893,3054.217880,-9114.858686,-10294.698486,13397.096630,-8551.741053,-7330.313465,15539.381928,6296.387917,3323.599735,13045.902072,-9728.147668,-24921.598689
Epoch 22,11453.884834,15139.284404,-22712.913825,9266.893914,25634.186353,-22271.484885,-6772.225180,804.585415,14412.436609,23955.142215,-11997.210695,22363.013445,96.413488,-14196.010226,19014.449095,-22879.407093,15310.934725,4622.235322,-18064.244183,-18931.376229,3072.326242,-9038.089176,-10352.469888,13395.208763,-8554.277027,-7292.147886,15528.160869,6217.608258,3377.658658,13106.879910,-9703.591428,-24941.504714
Epoch 23,11520.988646,15118.581545,-22742.913346,9241.823202,25610.277809,-22292.539951,-6780.779694,782.405172,14403.017644,23914.397342,-12006.764967,22396.252949,48.642433,-14177.683914,19061.176739,-22832.064842,15293.210309,4698.158529,-18109.009002,-18976.992762,3090.311290,-8961.275267,-10410.354640,13393.268649,-8556.793517,-7253.713379,15517.015281,6138.820016,3431.906928,13167.622297,-9679.209198,-24961.066488
Epoch 24,11587.873921,15098.008957,-22772.744705,9216.906899,25586.066286,-22313.422220,-6789.232745,760.410104,14393.642477,23873.391505,-12016.378181,22429.164784,0.643682,-14159.101357,19107.864421,-22784.470546,15275.236570,4773.957350,-18153.775947,-19022.321846,3108.174063,-8884.418657,-10468.351504,13391.277678,-8559.291951,-7215.009808,15505.946298,6060.024919,3486.343800,13228.128187,-9655.000858,-24980.283872
Epoch 25,11654.539405,15077.567095,-22802.406524,9192.144766,25561.552680,-22334.130317,-6797.585676,738.599465,14384.312434,23832.125877,-12026.051251,22461.748567,-47.582334,-14140.261837,19154.510558,-22736.625511,15257.012797,4849.630268,-18198.543531,-19067.362845,3125.915607,-8807.521048,-10526.459235,13389.237239,-8561.773755,-7176.037048,15494.955045,5981.224697,3540.968517,13288.396543,-9630.966280,-24999.156741
Epoch 26,11720.983851,15057.256406,-22831.897429,9167.536554,25536.737899,-22354.662868,-6805.839836,716.972498,14375.028834,23790.601636,-12035.785091,22494.003928,-96.035178,-14121.164644,19201.113564,-22688.531056,15238.538283,4925.175770,-18243.310265,-19112.115132,3143.536974,-8730.584138,-10584.676580,13387.148720,-8564.240352,-7136.794986,15484.042640,5902.421075,3595.780314,13348.426336,-9607.105324,-25017.684978
Epoch 27,11787.206020,15037.077325,-22861.216049,9143.082008,25511.622857,-22375.018503,-6813.996574,695.528436,14365.792993,23748.819969,-12045.580605,22525.930504,-144.714398,-14101.809081,19247.671849,-22640.188503,15219.812336,5000.592348,-18288.074656,-19156.578090,3161.039221,-8653.609627,-10643.002281,13385.013510,-8566.693169,-7097.283522,15473.210195,5823.615778,3650.778416,13408.216544,-9583.417841,-25035.868483
Epoch 28,11853.204682,15017.030281,-22890.361020,9118.780860,25486.208480,-22395.195857,-6822.057244,674.266504,14356.606219,23706.782071,-12055.438694,22557.527946,-193.619533,-14082.194458,19294.183824,-22591.599183,15200.834267,5075.878500,-18332.835208,-19200.751113,3178.423410,-8576.599217,-10701.435070,13382.832996,-8569.133628,-7057.502566,15462.458814,5744.810532,3705.962037,13467.766156,-9559.903669,-25053.707162
Epoch 29,11918.978614,14997.115690,-22919.330977,9094.632835,25460.495701,-22415.193567,-6830.023203,653.185918,14347.469818,23664.489143,-12065.360251,22588.795917,-242.750112,-14062.320093,19340.647898,-22542.764434,15181.603400,5151.032726,-18377.590420,-19244.633603,3195.690609,-8499.554605,-10759.973673,13380.608565,-8571.563152,-7017.452042,15451.789596,5666.007061,3761.330382,13527.074168,-9536.562638,-25071.200936
Epoch 30,11984.526602,14977.333960,-22948.124563,9070.637648,25434.485463,-22435.010277,-6837.895811,632.285884,14338.385087,23621.942393,-12075.346167,22619.734090,-292.105651,-14042.185317,19387.062477,-22493.685601,15162.119067,5226.053534,-18422.338791,-19288.224972,3212.841891,-8422.477493,-10818.616809,13378.341604,-8573.983163,-6977.131884,15441.203630,5587.207086,3816.882647,13586.139585,-9513.394566,-25088.349737
Epoch 31,12049.847441,14957.685491,-22976.740423,9046.795006,25408.178718,-22454.644630,-6845.676431,611.565599,14329.353322,23579.143037,-12085.397323,22650.342148,-341.685659,-14021.789468,19433.425965,-22444.364035,15142.380607,5300.939436,-18467.078812,-19331.524645,3229.878335,-8345.369579,-10877.363189,13376.033500,-8576.395081,-6936.542039,15430.702001,5508.412330,3872.618018,13644.961419,-9490.399261,-25105.153508
Epoch 32,12114.939933,14938.170671,-23005.177206,9023.104604,25381.576426,-22474.095277,-6853.366429,591.024252,14320.375810,23536.092297,-12095.514598,22680.619787,-391.489630,-14001.131895,19479.736767,-22394.801096,15122.387370,5375.688949,-18511.808975,-19374.532053,3246.801023,-8268.232563,-10936.211519,13373.685638,-8578.800326,-6895.682466,15420.285784,5429.624512,3928.535671,13703.538693,-9467.576521,-25121.612203
Epoch 33,12179.802888,14918.789881,-23033.433567,8999.566131,25354.679557,-22493.360873,-6860.967173,570.661023,14311.453835,23492.791404,-12105.698862,22710.566714,-441.517051,-13980.211955,19525.993284,-22344.998149,15102.138714,5450.300595,-18556.527766,-19417.246639,3263.611046,-8191.068145,-10995.160495,13371.299402,-8581.200317,-6854.553136,15409.956049,5350.845352,3984.634772,13761.870437,-9444.926134,-25137.725789
Epoch 34,12244.435126,14899.543491,-23061.508162,8976.179264,25327.489089,-22512.440074,-6868.480037,550.475081,14302.588673,23449.241594,-12115.950982,22740.182647,-491.767395,-13959.029017,19572.193918,-22294.956568,15081.634007,5524.772901,-18601.233669,-19459.667855,3280.309495,-8113.878022,-11054.208810,13368.876176,-8583.596470,-6813.154032,15399.713857,5272.076566,4040.914479,13819.955691,-9422.447875,-25153.494244
Epoch 35,12308.835475,14880.431861,-23089.399654,8952.943672,25300.006009,-22531.331543,-6875.906394,530.465589,14293.781596,23405.444110,-12126.271816,22769.467314,-542.240126,-13937.582457,19618.337068,-22244.677733,15060.872624,5599.104401,-18645.925165,-19501.795164,3296.897471,-8036.663893,-11113.355145,13366.417345,-8585.990202,-6771.485147,15389.560263,5193.319872,4097.373940,13877.793502,-9400.141512,-25168.917557
Epoch 36,12373.002771,14861.455343,-23117.106709,8929.859015,25272.231313,-22550.033946,-6883.247622,510.631698,14285.033871,23361.400203,-12136.662220,22798.420457,-592.934699,-13915.871663,19664.421131,-22194.163029,15039.853952,5673.293633,-18690.600732,-19543.628039,3313.376076,-7959.427455,-11172.598179,13363.924289,-8588.382926,-6729.546490,15379.496315,5114.576983,4154.012291,13935.382926,-9378.006801,-25183.995730
Epoch 37,12436.935858,14842.614278,-23144.627997,8906.924945,25244.166006,-22568.545954,-6890.505102,490.972554,14276.346757,23317.111130,-12147.123041,22827.041827,-643.850555,-13893.896031,19710.444505,-22143.413850,15018.577384,5747.339139,-18735.258844,-19585.165962,3329.746420,-7882.170407,-11231.936582,13361.398391,-8590.776057,-6687.338079,15369.523052,5035.849613,4210.828662,13992.723030,-9356.043487,-25198.728773
Epoch 38,12500.633590,14823.908999,-23171.962193,8884.141102,25215.811100,-22586.866241,-6897.680215,471.487290,14267.721510,23272.578155,-12157.655121,22855.331186,-694.987127,-13871.654967,19756.405585,-22092.431597,14997.042326,5821.239470,-18779.897974,-19626.408426,3346.009616,-7804.894443,-11291.369017,13358.841030,-8593.171006,-6644.859944,15359.641506,4957.139473,4267.822172,14049.812887,-9334.251307,-25213.116713
Epoch 39,12564.094829,14805.339829,-23199.107978,8861.507119,25187.167619,-22604.993487,-6904.774348,452.175034,14259.159377,23227.802550,-12168.259295,22883.288310,-746.343837,-13849.147889,19802.302768,-22041.217675,14975.248189,5894.993179,-18824.516590,-19667.354933,3362.166783,-7727.601261,-11350.894140,13356.253585,-8595.569183,-6602.112128,15349.852704,4878.448272,4324.991931,14106.651581,-9312.629984,-25227.159584
