Epoch/SVN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Epoch 1,11703.671538,15075.509234,-22817.618966,9152.958747,25543.220609,-22345.087228,-6782.828953,749.456614,14385.035785,23749.626074,-12021.820378,22447.097461,-98.489228,-14139.469827,19170.680757,-22716.707049,15279.084647,4902.599806,-18217.695561,-19081.301752,3122.925627,-8756.192637,-10527.306554,13390.251500,-8556.257489,-7136.977887,15485.630891,5934.525468,3627.727180,13338.216326,-9594.709712,-25017.398549
Epoch 2,11769.968153,15055.291853,-22847.033046,9128.449471,25518.164093,-22365.521714,-6791.052798,727.905877,14375.752161,23707.602326,-12031.599675,22479.358067,-147.085935,-14120.272920,19217.293792,-22668.509526,15260.600710,4978.055344,-18262.476446,-19125.929371,3140.484840,-8679.235068,-10585.587992,13388.125699,-8558.717931,-7097.556635,15474.771617,5855.725325,3682.680640,13398.073351,-9570.955862,-25035.651048
Epoch 3,11836.041689,15035.206223,-22876.274113,9104.093731,25492.808031,-22385.778497,-6799.179823,706.537692,14366.517249,23665.322957,-12041.441211,22511.289942,-195.908622,-14100.817300,19263.861462,-22620.064540,15241.865053,5053.381014,-18307.254298,-19170.267457,3157.925491,-8602.240972,-10643.977500,13385.954051,-8561.165341,-7057.865966,15463.992884,5776.924498,3737.819533,13457.690081,-9547.375443,-25053.558780
Epoch 4,11901.890920,15015.252769,-22905.340802,9079.891251,25467.153355,-22405.856213,-6807.211384,685.351280,14357.332357,23622.789172,-12051.345882,22542.892740,-244.956820,-14081.102279,19310.382177,-22571.373424,15222.876993,5128.575316,-18352.027617,-19214.315409,3175.248648,-8525.212047,-10702.473810,13383.737944,-8563.601144,-7017.905799,15453.295794,5698.124711,3793.143064,13517.065509,-9523.968288,-25071.121662
Epoch 5,11967.514631,14995.431903,-22934.231752,9055.841748,25441.201003,-22425.753502,-6815.148838,664.345854,14348.198785,23580.002182,-12061.314579,22574.166123,-294.230050,-14061.127183,19356.854344,-22522.437519,15203.635852,5203.636757,-18396.794901,-19258.072635,3192.455379,-8448.149994,-10761.075644,13381.478765,-8566.026761,-6977.676065,15442.681441,5619.327686,3848.650428,13576.198639,-9500.734215,-25088.339622
Epoch 6,12032.911610,14975.744032,-22962.945606,9031.944931,25414.951926,-22445.469008,-6822.993547,643.520617,14339.117828,23536.963205,-12071.348189,22605.109766,-343.727823,-14040.891344,19403.276369,-22473.258174,15184.140965,5278.563845,-18441.554646,-19301.538551,3209.546760,-8371.056512,-10819.781721,13379.177901,-8568.443615,-6937.176708,15432.150912,5540.535145,3904.340813,13635.088479,-9477.673036,-25105.212601
Epoch 7,12098.080659,14956.189550,-22991.481012,9008.200496,25388.407080,-22465.001378,-6830.746875,622.874763,14330.090776,23493.673467,-12081.447592,22635.723355,-393.449637,-14020.394104,19449.646657,-22423.836743,15164.391672,5353.355098,-18486.305344,-19344.712586,3226.523873,-8293.933300,-10878.590749,13376.836737,-8570.853124,-6896.407681,15421.705287,5461.748808,3960.213395,13693.734050,-9454.784550,-25121.740549
Epoch 8,12163.020586,14936.768843,-23019.836621,8984.608133,25361.567433,-22484.349266,-6838.410189,602.407478,14321.118913,23450.134201,-12091.613662,22666.006587,-443.394980,-13999.634817,19495.963609,-22374.174589,15144.387324,5428.009035,-18531.045481,-19387.594176,3243.387804,-8216.782056,-10937.501431,13374.456660,-8573.256709,-6855.368951,15411.345639,5382.970395,4016.267341,13752.134380,-9432.068545,-25137.923430
Epoch 9,12227.730205,14917.482287,-23048.011089,8961.167522,25334.433961,-22503.511325,-6845.984860,582.117937,14312.203519,23406.346645,-12101.847267,22695.959170,-493.563332,-13978.612844,19542.225628,-22324.273080,15124.127282,5502.524183,-18575.773545,-19430.182770,3260.139644,-8139.604479,-10996.512462,13372.039052,-8575.655787,-6814.060497,15401.073033,5304.201623,4072.501808,13810.288504,-9409.524802,-25153.761219
Epoch 10,12292.208343,14898.330249,-23076.003075,8937.878333,25307.007647,-22522.486217,-6853.472260,562.005307,14303.345867,23362.312047,-12112.149270,22725.580825,-543.954159,-13957.327556,19588.431114,-22274.133592,15103.610914,5576.899074,-18620.488016,-19472.477824,3276.780488,-8062.402268,-11055.622531,13369.585298,-8578.051774,-6772.482310,15390.888527,5225.444209,4128.915944,13868.195468,-9387.153087,-25169.253901
Epoch 11,12356.453832,14879.313087,-23103.811243,8914.740227,25279.289484,-22541.272606,-6860.873766,542.068749,14294.547225,23318.031659,-12122.520528,22754.871281,-594.566918,-13935.778336,19634.578465,-22223.757509,15082.837599,5651.132242,-18665.187373,-19514.478805,3293.311440,-7985.177119,-11114.830320,13367.096781,-8580.446088,-6730.634393,15380.793172,5146.699868,4185.508888,13925.854327,-9364.953159,-25184.401475
Epoch 12,12420.465514,14860.431148,-23131.434262,8891.752856,25251.280476,-22559.869160,-6868.190756,522.307409,14285.808854,23273.506742,-12132.961891,22783.830280,-645.401055,-13913.964573,19680.666080,-22173.146219,15061.806723,5725.222232,-18709.870093,-19556.185192,3309.733604,-7907.930729,-11174.134503,13364.574882,-8582.840140,-6688.516759,15370.788013,5067.970314,4242.279769,13983.264142,-9342.924766,-25199.203949
Epoch 13,12484.242240,14841.684770,-23158.870803,8868.915864,25222.981631,-22578.274552,-6875.424610,502.720431,14277.132011,23228.738563,-12143.474204,22812.457577,-696.456004,-13891.885668,19726.692353,-22122.301119,15040.517682,5799.167589,-18754.534649,-19597.596471,3326.048092,-7830.664796,-11233.533749,13362.020982,-8585.235344,-6646.129436,15360.874085,4989.257257,4299.227706,14040.423985,-9321.067645,-25213.661345
Epoch 14,12547.782867,14823.074282,-23186.119544,8846.228885,25194.393970,-22596.487460,-6882.576714,483.306945,14268.517946,23183.728394,-12154.058305,22840.752936,-747.731192,-13869.541032,19772.655681,-22071.223612,15018.969882,5872.966867,-18799.179511,-19638.712140,3342.256019,-7753.381014,-11293.026718,13359.436460,-8587.633111,-6603.472463,15351.052417,4910.562409,4356.351809,14097.332936,-9299.381524,-25227.773694
Epoch 15,12611.086264,14804.600003,-23213.179166,8823.691542,25165.518520,-22614.506564,-6889.648453,464.066075,14259.967904,23138.477517,-12164.715028,22868.716132,-799.226032,-13846.930086,19818.554459,-22019.915107,14997.162737,5946.618625,-18843.803146,-19679.531707,3358.358508,-7676.081079,-11352.612066,13356.822696,-8590.034850,-6560.545891,15341.324031,4831.887479,4413.651180,14153.990085,-9277.866118,-25241.541041
Epoch 16,12674.151307,14786.262244,-23240.048356,8801.303453,25136.356318,-22632.330552,-6896.641215,444.996936,14251.483122,23092.987217,-12175.445198,22896.346952,-850.939928,-13824.052259,19864.387078,-21968.377020,14975.095671,6020.121426,-18888.404020,-19720.054688,3374.356682,-7598.766686,-11412.288441,13354.181065,-8592.441968,-6517.349781,15331.689940,4753.234172,4471.124908,14210.394529,-9256.521134,-25254.963440
Epoch 17,12736.976881,14768.061303,-23266.725803,8779.064224,25106.908408,-22649.958113,-6903.556393,426.098633,14243.064834,23047.258789,-12186.249636,22923.645196,-902.872272,-13800.906991,19910.151933,-21916.610774,14952.768118,6093.473840,-18932.980593,-19760.280612,3390.251673,-7521.439526,-11472.054484,13351.512945,-8594.855872,-6473.884210,15322.151150,4674.604194,4528.772077,14266.545376,-9235.346269,-25268.040960
Epoch 18,12799.561880,14749.997472,-23293.210203,8756.973452,25077.175843,-22667.387943,-6910.395378,407.370265,14234.714266,23001.293533,-12197.129156,22950.610673,-955.022448,-13777.493732,19955.847413,-21864.617797,14930.179519,6166.674443,-18977.531327,-19800.209017,3406.044614,-7444.101293,-11531.908831,13348.819710,-8597.277966,-6430.149264,15312.708660,4595.999248,4586.591759,14322.441741,-9214.341208,-25280.773677
Epoch 19,12861.905205,14732.071031,-23319.500256,8735.030726,25047.159686,-22684.618742,-6917.159568,388.810921,14226.432638,22955.092753,-12208.084565,22977.243203,-1007.389827,-13753.811943,20001.471911,-21812.399526,14907.329326,6239.721815,-19022.054677,-19839.839450,3421.736646,-7366.753679,-11591.850109,13346.102732,-8599.709651,-6386.145042,15303.363462,4517.421034,4644.583017,14378.082749,-9193.505627,-25293.161681
Epoch 20,12924.005769,14714.282251,-23345.594667,8713.235625,25016.861006,-22701.649215,-6923.850359,370.419680,14218.221163,22908.657764,-12219.116665,23003.542620,-1059.973771,-13729.861092,20047.023817,-21759.957402,14884.217000,6312.614544,-19066.549097,-19879.171469,3437.328911,-7289.398373,-11651.876941,13343.363384,-8602.152329,-6341.871656,15294.116538,4438.871253,4702.744906,14433.467534,-9172.839193,-25305.205075
Epoch 21,12985.862491,14696.631396,-23371.492144,8691.587722,24986.280882,-22718.478070,-6930.469152,352.195615,14210.081049,22861.989885,-12230.226250,23029.508766,-1112.773631,-13705.640660,20092.501520,-21707.292872,14860.842011,6385.351223,-19111.013041,-19918.204643,3452.822558,-7212.037065,-11711.987942,13340.603036,-8604.607397,-6297.329229,15284.968864,4360.351601,4761.076470,14488.595239,-9152.341559,-25316.903971
Epoch 22,13047.474302,14679.118715,-23397.191402,8670.086576,24955.420400,-22735.104023,-6937.017348,334.137790,14202.013498,22815.090440,-12241.414110,23055.141496,-1165.788747,-13681.150136,20137.903408,-21654.407391,14837.203840,6457.930450,-19155.444958,-19956.938550,3468.218740,-7134.671442,-11772.181723,13337.823057,-8607.076252,-6252.517895,15275.921408,4281.863773,4819.576747,14543.465016,-9132.012371,-25328.258492
Epoch 23,13108.840139,14661.744453,-23422.691160,8648.731742,24924.280655,-22751.525792,-6943.496351,316.245261,14194.019704,22767.960761,-12252.681026,23080.440677,-1219.018450,-13656.389021,20183.227872,-21601.302419,14813.301975,6530.350831,-19199.843295,-19995.372778,3483.518612,-7057.303193,-11832.456887,13335.024812,-8609.560287,-6207.437804,15266.975130,4203.409462,4878.244761,14598.076026,-9111.851266,-25339.268774
Epoch 24,13169.958948,14644.508842,-23447.990143,8627.522762,24892.862751,-22767.742102,-6949.907567,298.517074,14186.100856,22720.602187,-12264.027775,23105.406186,-1272.462060,-13631.356824,20228.473298,-21547.979423,14789.135916,6602.610975,-19244.206497,-20033.506927,3498.723337,-6979.934002,-11892.812030,13332.209668,-8612.060895,-6162.089114,15258.130982,4124.990358,4937.079531,14652.427440,-9091.857866,-25349.934966
Epoch 25,13230.829688,14627.412105,-23473.087079,8606.459173,24861.167799,-22783.751682,-6956.252404,280.952268,14178.258135,22673.016061,-12275.455125,23130.037912,-1326.118885,-13606.053065,20273.638075,-21494.439875,14764.705170,6674.709501,-19288.533008,-20071.340606,3513.834080,-6902.565553,-11953.245743,13329.378988,-8614.579464,-6116.471997,15249.389909,4046.608148,4996.080065,14706.518436,-9072.031788,-25360.257223
Epoch 26,13291.451323,14610.454456,-23497.980703,8585.540500,24829.196918,-22799.553266,-6962.532270,263.549876,14170.492717,22625.203733,-12286.963839,23154.335755,-1379.988225,-13580.477275,20318.720589,-21440.685254,14740.009255,6746.645030,-19332.821268,-20108.873432,3528.852009,-6825.199530,-12013.756612,13326.534133,-8617.117383,-6070.586636,15240.752847,3968.264520,5055.245364,14760.348203,-9052.372636,-25370.235718
Epoch 27,13351.822826,14593.636099,-23522.669754,8564.766262,24796.951236,-22815.145592,-6968.748577,246.308918,14162.805769,22577.166559,-12298.554673,23178.299626,-1434.069368,-13554.628993,20363.719230,-21386.717044,14715.047698,6818.416193,-19377.069716,-20146.105037,3543.778299,-6747.837613,-12074.343215,13323.676463,-8619.676035,-6024.433229,15232.220724,3889.961156,5114.574417,14813.915940,-9032.880005,-25379.870631
Epoch 28,13411.943183,14576.957229,-23547.152977,8544.135965,24764.431888,-22830.527407,-6974.902737,229.228411,14155.198455,22528.905902,-12310.228377,23201.929448,-1488.361593,-13528.507771,20408.632382,-21332.536735,14689.820037,6890.021624,-19421.276790,-20183.035059,3558.614126,-6670.481483,-12135.004125,13320.807335,-8622.256804,-5978.011982,15223.794462,3811.699737,5174.066206,14867.220853,-9013.553480,-25389.162154
Epoch 29,13471.811386,14560.418030,-23571.429121,8523.649111,24731.640017,-22845.697459,-6980.996164,212.307360,14147.671928,22480.423130,-12321.985692,23225.225154,-1542.864168,-13502.113168,20453.458434,-21278.145823,14664.325817,6961.459965,-19465.440924,-20219.663148,3573.360672,-6593.132816,-12195.737910,13317.928104,-8624.861068,-5931.323117,15215.474972,3733.481940,5233.719704,14920.262158,-8994.392636,-25398.110491
Epoch 30,13531.426437,14544.018678,-23595.496941,8503.305191,24698.576774,-22860.654504,-6987.030275,195.544764,14140.227337,22431.719616,-12333.827355,23248.186691,-1597.576351,-13475.444756,20498.195773,-21223.545810,14638.564595,7032.729865,-19509.560552,-20255.988966,3588.019123,-6515.793291,-12256.543130,13315.040125,-8627.490205,-5884.366864,15207.263159,3655.309442,5293.533875,14973.039082,-8975.397037,-25406.715858
Epoch 31,13590.787347,14527.759338,-23619.355198,8483.103686,24665.243320,-22875.397302,-6993.006485,178.939615,14132.865824,22382.796740,-12345.754096,23270.814014,-1652.497389,-13448.502117,20542.842785,-21168.738204,14612.535937,7103.829978,-19553.634105,-20292.012181,3602.590666,-6438.464580,-12317.418340,13312.144748,-8630.145589,-5837.143470,15199.159920,3577.183916,5353.507673,15025.550860,-8956.566239,-25414.978481
Epoch 32,13649.893137,14511.640166,-23643.002658,8463.044071,24631.640820,-22889.924619,-6998.926213,162.490895,14125.588522,22333.655888,-12357.766636,23293.107091,-1707.626519,-13421.284841,20587.397858,-21113.724517,14586.239418,7174.758965,-19597.660013,-20327.732475,3617.076495,-6361.148357,-12378.362091,13309.243322,-8632.828592,-5789.653190,15191.166142,3499.107031,5413.640045,15077.796735,-8937.899786,-25422.898598
Epoch 33,13708.742837,14495.661308,-23666.438091,8443.125810,24597.770451,-22904.235225,-7004.790879,146.197579,14118.396559,22284.298451,-12369.865692,23315.065902,-1762.962969,-13393.792530,20631.859379,-21058.506269,14559.674622,7245.515493,-19641.636705,-20363.149539,3631.477807,-6283.846294,-12439.372926,13306.337194,-8635.540582,-5741.896292,15183.282707,3421.080455,5473.929928,15129.775962,-8919.397214,-25430.476459
Epoch 34,13767.335486,14479.822901,-23689.660275,8423.348361,24563.633393,-22918.327899,-7010.601904,130.058635,14111.291055,22234.725826,-12382.051971,23336.690436,-1818.505956,-13366.024797,20676.225737,-21003.084983,14532.841146,7316.098236,-19685.562606,-20398.263074,3645.795801,-6206.560058,-12500.449384,13303.427709,-8638.282925,-5693.873059,15175.510484,3343.105852,5534.376251,15181.487804,-8901.058047,-25437.712323
Epoch 35,13825.670133,14464.125071,-23712.667991,8403.711170,24529.230837,-22932.201422,-7016.360709,114.073022,14104.273123,22184.939415,-12394.326175,23357.980696,-1874.254685,-13337.981263,20720.495318,-20947.462190,14505.738594,7386.505874,-19729.436142,-20433.072792,3660.031682,-6129.291318,-12561.589997,13300.516207,-8641.056985,-5645.583782,15167.850339,3265.184884,5594.977933,15232.931534,-8882.881802,-25444.606463
Epoch 36,13883.745837,14448.567937,-23735.460029,8384.213678,24494.563982,-22945.854582,-7022.068716,98.239693,14097.343869,22134.940627,-12406.689000,23378.936694,-1930.208355,-13309.661563,20764.666512,-20891.639423,14478.366579,7456.737096,-19773.255737,-20467.578415,3674.186655,-6052.041737,-12622.793293,13297.604028,-8643.864120,-5597.028767,15160.303127,3187.319209,5655.733887,15284.106433,-8864.867984,-25451.159161
Epoch 37,13941.561665,14433.151606,-23758.035180,8364.855314,24459.634031,-22959.286173,-7027.727351,82.557593,14090.504391,22084.730874,-12419.141133,23399.558454,-1986.366152,-13281.065338,20808.737707,-20835.618224,14450.724726,7526.790594,-19817.019813,-20501.779675,3688.261933,-5974.812979,-12684.057793,13294.692509,-8646.705689,-5548.208331,15152.869694,3109.510482,5716.643015,15335.011793,-8847.016088,-25457.370712
Epoch 38,13999.116694,14417.876175,-23780.392244,8345.635502,24424.442199,-22972.494995,-7033.338038,67.025657,14083.755781,22034.311577,-12431.683254,23419.846013,-2042.727251,-13252.192243,20852.707292,-20779.400139,14422.812670,7596.665069,-19860.726790,-20535.676314,3702.258728,-5897.606705,-12745.382015,13291.782984,-8649.583043,-5499.122803,15145.550879,3031.760356,5777.704210,15385.646917,-8829.325602,-25463.241421
Epoch 39,14056.410012,14402.741734,-23802.530027,8326.553654,24388.989706,-22985.479852,-7038.902201,51.642817,14077.099122,21983.684159,-12444.316039,23439.799416,-2099.290820,-13223.041942,20896.573658,-20722.986717,14394.630054,7666.359229,-19904.375090,-20569.268086,3716.178259,-5820.424572,-12806.764468,13288.876784,-8652.497535,-5449.772525,15138.347514,2954.070480,5838.916359,15436.011113,-8811.796001,-25468.771605
Epoch 40,14113.440714,14387.748361,-23824.447339,8307.609175,24353.277779,-22998.239555,-7044.421269,36.407993,14070.535492,21932.850050,-12457.040152,23459.418721,-2156.056015,-13193.614109,20940.335195,-20666.379515,14366.176531,7735.871788,-19947.963129,-20602.554754,3730.021745,-5743.268238,-12868.203660,13285.975238,-8655.450510,-5400.157849,15131.260418,2876.442499,5900.278339,15486.103703,-8794.426751,-25473.961591
Epoch 41,14170.207906,14372.896125,-23846.142996,8288.801464,24317.307653,-23010.772923,-7049.896667,21.320100,14064.065959,21881.810685,-12469.856254,23478.703998,-2213.021983,-13163.908430,20983.990295,-20609.580094,14337.451767,7805.201468,-19991.489327,-20635.536091,3743.790411,-5666.139354,-12929.698090,13283.079672,-8658.443312,-5350.279143,15124.290407,2798.878057,5961.789018,15535.924017,-8777.217311,-25478.811718
Epoch 42,14226.710705,14358.185086,-23867.615822,8270.129907,24281.080571,-23023.078776,-7055.329824,6.378047,14057.691584,21830.567505,-12482.764997,23497.655327,-2270.187860,-13133.924599,21027.537350,-20552.590020,14308.455433,7874.346995,-20034.952099,-20668.211881,3757.485483,-5589.039574,-12991.246254,13280.191409,-8661.477283,-5300.136782,15117.438285,2721.378792,6023.447256,15585.471393,-8760.167128,-25483.322336
Epoch 43,14282.948235,14343.615294,-23888.864644,8251.593886,24244.597782,-23035.155945,-7060.722168,-8.419266,14051.413422,21779.121954,-12495.767025,23516.272799,-2327.552773,-13103.662324,21070.974752,-20495.410865,14279.187213,7943.307105,-20078.349860,-20700.581920,3771.108191,-5511.970545,-13052.846643,13277.311769,-8664.553757,-5249.731157,15110.704849,2643.946341,6085.251907,15634.745181,-8743.275639,-25487.493807
Epoch 44,14338.919632,14329.186788,-23909.888297,8233.192771,24207.860544,-23047.003265,-7066.075127,-23.072948,14045.232518,21727.475484,-12508.862978,23534.556519,-2385.115838,-13073.121320,21114.300896,-20438.044203,14249.646802,8012.080540,-20121.681026,-20732.646010,3784.659768,-5434.933914,-13114.497742,13274.442068,-8667.674070,-5199.062670,15104.090887,2566.582335,6147.201812,15683.744741,-8726.542272,-25491.326502
Epoch 45,14394.624040,14314.899599,-23930.685621,8214.925926,24170.870120,-23058.619576,-7071.390131,-37.584111,14039.149912,21675.629549,-12522.053485,23552.506598,-2442.876163,-13042.301315,21157.514176,-20380.491616,14219.833902,8080.666050,-20164.944010,-20764.403968,3798.141450,-5357.931324,-13176.198031,13271.583621,-8670.839549,-5148.131734,15097.597178,2489.288403,6209.295808,15732.469440,-8709.966448,-25494.820804
Epoch 46,14450.060614,14300.753749,-23951.255464,8196.792707,24133.627781,-23070.003726,-7076.668608,-51.953877,14033.166634,21623.585611,-12535.339170,23570.123164,-2500.832844,-13011.202046,21200.612990,-20322.754689,14189.748227,8149.062390,-20208.137225,-20795.855619,3811.554476,-5280.964416,-13237.945986,13268.737738,-8674.051522,-5096.938775,15091.224493,2412.066171,6271.532721,15780.918657,-8693.547574,-25497.977109
Epoch 47,14505.228518,14286.749249,-23971.596678,8178.792460,24096.134807,-23081.154568,-7081.911990,-66.183373,14027.283707,21571.345134,-12548.720648,23587.406351,-2558.984970,-12979.823262,21243.595733,-20264.835013,14159.389501,8217.268325,-20251.259083,-20827.000799,3824.900086,-5204.034829,-13299.740077,13265.905727,-8677.311310,-5045.484232,15084.973594,2334.917260,6333.911371,15829.091779,-8677.285050,-25500.795820
Epoch 48,14560.126927,14272.886099,-23991.708121,8160.924523,24058.392481,-23092.070962,-7087.121705,-80.273736,14021.502146,21518.909590,-12562.198529,23604.356309,-2617.331616,-12948.164722,21286.460804,-20206.734182,14128.757456,8285.282624,-20294.307996,-20857.839353,3838.179527,-5127.144197,-13361.578771,13263.088893,-8680.620232,-4993.768554,15078.845235,2257.843288,6396.430567,15876.988205,-8661.178268,-25503.277355
Epoch 49,14614.755023,14259.164294,-24011.588660,8143.188228,24020.402097,-23102.751774,-7092.299184,-94.226107,14015.822958,21466.280453,-12575.773412,23620.973195,-2675.871851,-12916.226195,21329.206604,-20148.453796,14097.851836,8353.104065,-20337.282374,-20888.371139,3851.394043,-5050.294154,-13423.460529,13260.288536,-8683.979602,-4941.792203,15072.840161,2180.845868,6459.089114,15924.607341,-8645.226608,-25505.422140
Epoch 50,14669.112003,14245.583814,-24031.237165,8125.582896,23982.164953,-23113.195877,-7097.445857,-108.041635,14010.247142,21413.459203,-12589.445893,23637.257179,-2734.604734,-12884.007461,21371.831532,-20089.995459,14066.672395,8420.731434,-20380.180629,-20918.596023,3864.544885,-4973.486328,-13485.383807,13257.505954,-8687.390730,-4889.555654,15066.959108,2103.926612,6521.885805,15971.948606,-8629.429441,-25507.230614
Epoch 51,14723.197068,14232.144633,-24050.652514,8108.107842,23943.682355,-23123.402149,-7102.563154,-121.721476,14004.775691,21360.447326,-12603.216557,23653.208443,-2793.529312,-12851.508312,21414.333991,-20031.360779,14035.218896,8488.163524,-20423.001171,-20948.513882,3877.633305,-4896.722346,-13547.347057,13254.742442,-8690.854923,-4837.059392,15061.202804,2027.087125,6584.819426,16019.011426,-8613.786131,-25508.703225
Epoch 52,14777.009434,14218.846715,-24069.833592,8090.762372,23904.955616,-23133.369476,-7107.652506,-135.266791,13999.409586,21307.246309,-12617.085983,23668.827178,-2852.644625,-12818.728549,21456.712385,-19972.551368,14003.491114,8555.399134,-20465.742408,-20978.124605,3890.660558,-4820.003833,-13609.348726,13251.999289,-8694.373482,-4784.303915,15055.571966,1950.329009,6647.888757,16065.795237,-8598.296029,-25509.840435
Epoch 53,14830.548323,14205.690012,-24088.779289,8073.545785,23865.986055,-23143.096750,-7112.715341,-148.678751,13994.149803,21253.857647,-12631.054742,23684.113588,-2911.949701,-12785.667985,21498.965120,-19913.568846,13971.488832,8622.437072,-20508.402750,-21007.428089,3903.627900,-4743.332407,-13671.387257,13249.277783,-8697.947708,-4731.289733,15050.067306,1873.653863,6711.092569,16112.299488,-8582.958480,-25510.642712
Epoch 54,14883.812969,14192.674469,-24107.488502,8056.457370,23826.774999,-23152.582870,-7117.753090,-161.958530,13988.997308,21200.282839,-12645.123398,23699.067888,-2971.443560,-12752.326441,21541.090603,-19854.414831,13939.211845,8689.276152,-20550.980608,-21036.424243,3916.536590,-4666.709686,-13733.461089,13246.579208,-8701.578892,-4678.017368,15044.689523,1797.063282,6774.429623,16158.523635,-8567.772819,-25511.110540
Epoch 55,14936.802617,14179.800021,-24125.960136,8039.496409,23787.323779,-23161.826739,-7122.767183,-175.107310,13983.953061,21146.523388,-12659.292506,23713.690302,-3031.125212,-12718.703753,21583.087241,-19795.090951,13906.659956,8755.915198,-20593.474388,-21065.112986,3929.387891,-4590.137285,-13795.568656,13243.904843,-8705.268325,-4624.487354,15039.439311,1720.558855,6837.898674,16204.467143,-8552.738370,-25511.244410
Epoch 56,14989.516520,14167.066593,-24144.193099,8022.662178,23747.633736,-23170.827271,-7127.759047,-188.126281,13979.018011,21092.580800,-12673.562616,23727.981068,-3090.993658,-12684.799763,21624.953446,-19735.598835,13873.832979,8822.353039,-20635.882501,-21093.494246,3942.183066,-4513.616813,-13857.708387,13241.255965,-8709.017293,-4570.700237,15034.317352,1644.142168,6901.498471,16250.129491,-8537.854450,-25511.044825
