P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,25263604.0590,0.0000,0.0000,23320545.7990,22356166.6130,0.0000,0.0000,0.0000,0.0000,0.0000,20558320.0890,0.0000,24040669.9990,22974555.4220,0.0000,0.0000,0.0000,24809035.8240,0.0000,0.0000,0.0000,0.0000,22152074.7420,21546934.6040,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23339269.8630,22336211.1800,0.0000,0.0000,0.0000,0.0000,0.0000,20560415.7970,0.0000,24022274.4350,22967970.1140,0.0000,0.0000,0.0000,24793722.1490,0.0000,0.0000,0.0000,0.0000,22139702.0920,21554312.6160,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23358025.3320,22316301.0930,0.0000,0.0000,0.0000,0.0000,0.0000,20562616.0110,0.0000,24003918.2980,22961490.1380,0.0000,0.0000,0.0000,24778475.1150,0.0000,0.0000,0.0000,0.0000,22127374.4770,21561777.7050,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23376813.1590,22296436.5840,0.0000,0.0000,0.0000,0.0000,0.0000,20564920.5110,0.0000,23985601.0670,22955115.4050,0.0000,0.0000,0.0000,24763296.0990,0.0000,0.0000,0.0000,0.0000,22115091.7370,21569329.7650,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23395631.8130,22276617.5930,0.0000,0.0000,0.0000,0.0000,0.0000,20567329.1760,0.0000,23967324.5120,22948846.3150,0.0000,0.0000,0.0000,24748184.0770,0.0000,0.0000,0.0000,0.0000,22102854.6140,21576968.4600,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23414480.4990,22256845.2520,0.0000,0.0000,0.0000,0.0000,0.0000,20569842.4670,0.0000,23949088.1450,22942683.4170,0.0000,0.0000,0.0000,24733142.6020,0.0000,0.0000,0.0000,0.0000,22090662.2840,21584693.5820,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23433361.9970,22237117.9640,0.0000,0.0000,0.0000,0.0000,0.0000,20572459.9660,0.0000,23930892.7570,22936625.5540,0.0000,0.0000,0.0000,24718169.5930,0.0000,0.0000,0.0000,0.0000,22078515.7220,21592504.5620,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23452272.3650,22217438.6590,0.0000,0.0000,0.0000,0.0000,0.0000,20575181.9970,0.0000,23912739.5380,22930673.8110,0.0000,0.0000,0.0000,24703266.0120,0.0000,0.0000,0.0000,0.0000,22066414.5290,21600401.3530,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23471213.8300,22197806.0100,0.0000,0.0000,0.0000,0.0000,0.0000,20578008.2820,0.0000,23894629.0970,22924830.0120,0.0000,0.0000,0.0000,24688431.9910,0.0000,0.0000,0.0000,0.0000,22054359.2860,21608383.8270,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23490185.9450,22178220.4910,0.0000,0.0000,0.0000,0.0000,0.0000,20580938.8650,0.0000,23876560.7200,22919091.9990,0.0000,0.0000,0.0000,24673667.9370,0.0000,0.0000,0.0000,0.0000,22042349.2220,21616451.4230,0.0000,0.0000,0.0000,0.0000
