P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,24531100.0884,0.0000,0.0000,23362574.8034,22419642.1124,0.0000,0.0000,0.0000,0.0000,0.0000,20450690.1554,0.0000,0.0000,23277286.9554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22180250.0904,21658675.3694,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,24552412.8024,0.0000,0.0000,23380393.4484,22400545.1224,0.0000,0.0000,0.0000,0.0000,0.0000,20450192.4424,0.0000,23915794.9254,23268037.1384,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22168649.0544,21667273.5564,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,24573735.6254,0.0000,0.0000,23398237.5234,22381488.0984,0.0000,0.0000,0.0000,0.0000,0.0000,20449793.6594,0.0000,23898473.4954,23258881.6644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22157086.8134,21675953.8654,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,24595064.4344,0.0000,0.0000,23416107.3644,22362471.6654,0.0000,0.0000,0.0000,0.0000,0.0000,20449494.0424,0.0000,23881193.4504,23249825.3224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22145563.9804,21684716.6234,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,24616399.6414,0.0000,0.0000,23434004.8544,22343496.5084,0.0000,0.0000,0.0000,0.0000,0.0000,20449293.4984,0.0000,23863954.7444,23240864.2644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22134081.5084,21693559.9974,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,24637739.5674,0.0000,0.0000,23451928.5614,22324561.7674,0.0000,0.0000,0.0000,0.0000,0.0000,20449192.0604,0.0000,23846758.8174,23232004.0724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22122638.2524,21702485.5594,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,24659084.1294,0.0000,0.0000,23469879.0574,22305668.7434,0.0000,0.0000,0.0000,0.0000,0.0000,20449190.1104,0.0000,23829607.1404,23223241.0284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22111234.7294,21711492.3684,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,24680437.1354,0.0000,0.0000,23487854.1284,22286816.6604,0.0000,0.0000,0.0000,0.0000,0.0000,20449286.8594,0.0000,23812496.2154,23214576.8884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22099871.7184,21720578.5374,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,24701793.4224,0.0000,0.0000,23505853.9744,22268007.7884,0.0000,0.0000,0.0000,0.0000,0.0000,20449484.0204,0.0000,23795431.5164,23206011.3094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22088547.8504,21729746.2764,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,24723154.6064,0.0000,0.0000,23523880.0134,22249241.4154,0.0000,0.0000,0.0000,0.0000,0.0000,20449780.5194,0.0000,23778410.3134,23197545.2324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22077263.3364,21738993.7244,0.0000,0.0000,0.0000,0.0000
