P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23625195.9230,22030849.4060,0.0000,0.0000,0.0000,0.0000,0.0000,20605255.8110,0.0000,23749100.9450,22879960.0580,0.0000,0.0000,0.0000,24566378.0780,0.0000,0.0000,0.0000,0.0000,21955622.3340,21679216.3910,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23644397.5680,22011689.1590,0.0000,0.0000,0.0000,0.0000,0.0000,20609045.6590,0.0000,23731395.8530,22875130.7440,0.0000,0.0000,0.0000,24552227.7850,0.0000,0.0000,0.0000,0.0000,21944000.4090,21687987.9680,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23663629.4610,21992579.8810,0.0000,0.0000,0.0000,0.0000,0.0000,20612939.8110,0.0000,23713739.0890,22870410.5540,0.0000,0.0000,0.0000,24538151.2280,0.0000,0.0000,0.0000,0.0000,21932425.7200,21696842.2230,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23682886.4450,21973522.0740,0.0000,0.0000,0.0000,0.0000,0.0000,20616938.0930,0.0000,23696131.5530,22865798.7880,0.0000,0.0000,0.0000,24524151.6920,0.0000,0.0000,0.0000,0.0000,21920898.1590,21705778.6900,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23702172.8910,21954515.3340,0.0000,0.0000,0.0000,0.0000,0.0000,20621040.6250,0.0000,23678571.4690,22861295.5940,0.0000,0.0000,0.0000,24510225.3320,0.0000,0.0000,0.0000,0.0000,21909418.2610,21714796.7130,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23721484.9600,21935560.7320,0.0000,0.0000,0.0000,0.0000,0.0000,20625247.0530,0.0000,23661061.8000,22856901.7390,0.0000,0.0000,0.0000,24496375.3200,0.0000,0.0000,0.0000,0.0000,21897985.4020,21723896.2620,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23740823.4320,21916658.5650,0.0000,0.0000,0.0000,0.0000,0.0000,20629557.6650,0.0000,23643603.0640,22852615.7120,0.0000,0.0000,0.0000,24482601.7570,0.0000,0.0000,0.0000,0.0000,21886600.2840,21733077.1540,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23760190.0770,21897808.8010,0.0000,0.0000,0.0000,0.0000,0.0000,20633972.5060,0.0000,23626193.7800,22848439.7260,0.0000,0.0000,0.0000,24468904.8910,0.0000,0.0000,0.0000,0.0000,21875263.0560,21742338.8510,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23779580.5150,21879012.4340,0.0000,0.0000,0.0000,0.0000,0.0000,20638491.1730,0.0000,23608837.0560,22844372.3540,0.0000,0.0000,0.0000,24455285.9360,0.0000,0.0000,0.0000,0.0000,21863973.9140,21751681.4590,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23798998.4270,21860269.0120,0.0000,0.0000,0.0000,0.0000,0.0000,20643113.6800,0.0000,23591530.6250,22840414.9160,0.0000,0.0000,0.0000,24441742.9660,0.0000,0.0000,0.0000,0.0000,21852732.5750,21761104.1680,0.0000,0.0000,0.0000,0.0000
