P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23798663.6574,21956439.9734,0.0000,0.0000,0.0000,0.0000,0.0000,20466942.1844,0.0000,23524937.1114,23078370.6674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21907532.6764,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23817061.4794,21938435.2334,0.0000,0.0000,0.0000,0.0000,0.0000,20468879.3384,0.0000,23508708.3674,23071598.0724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21896922.2944,21904506.3964,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23835485.2854,21920476.8804,0.0000,0.0000,0.0000,0.0000,0.0000,20470917.5954,0.0000,23492533.0854,23064928.4744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21886354.0634,21915107.0024,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23853930.3544,21902565.9234,0.0000,0.0000,0.0000,0.0000,0.0000,20473056.1944,0.0000,23476410.5854,23058362.9004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21875826.3404,21925780.9994,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23872393.1934,21884703.3674,0.0000,0.0000,0.0000,0.0000,0.0000,20475296.1784,0.0000,23460345.3714,23051901.9594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21865341.1744,21936528.7824,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23890877.6594,21866889.2924,0.0000,0.0000,0.0000,0.0000,0.0000,20477637.7134,0.0000,23444336.2774,23045545.8774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21854896.9194,21947348.8004,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23909386.4424,21849123.9204,0.0000,0.0000,0.0000,0.0000,0.0000,20480079.6014,0.0000,23428383.3994,23039292.5304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21844494.4304,21958242.2084,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23927913.3914,21831407.6014,0.0000,0.0000,0.0000,0.0000,0.0000,20482622.6814,0.0000,23412486.7704,23033146.5104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21834134.2084,21969208.3944,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23946460.5944,21813740.7454,0.0000,0.0000,0.0000,0.0000,0.0000,20485267.4824,0.0000,23396647.6324,23027103.0864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21823815.8344,21980246.0944,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23965028.7974,21796122.8564,0.0000,0.0000,0.0000,0.0000,0.0000,20488012.9424,0.0000,23380868.1914,23021168.2614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21813539.5394,21991355.1154,0.0000,0.0000,0.0000,0.0000
