P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,26863913.5940,0.0000,0.0000,25378556.2460,23852195.4060,0.0000,0.0000,0.0000,0.0000,0.0000,22246464.0010,0.0000,25144421.8720,24953967.7380,0.0000,0.0000,0.0000,26843681.5600,0.0000,0.0000,0.0000,0.0000,23776475.7830,23536510.9980,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,26881380.8860,0.0000,0.0000,25393036.5140,23830088.6180,0.0000,0.0000,0.0000,0.0000,0.0000,22244360.8520,0.0000,25124398.7150,24943773.4660,0.0000,0.0000,0.0000,26825171.3140,0.0000,0.0000,0.0000,0.0000,23761665.7720,23543079.8520,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,26898842.9130,0.0000,0.0000,25407542.2890,23808027.5080,0.0000,0.0000,0.0000,0.0000,0.0000,22242361.2010,0.0000,25104432.0200,24933683.7450,0.0000,0.0000,0.0000,26806728.9300,0.0000,0.0000,0.0000,0.0000,23746895.9480,23549723.4540,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,26916298.0330,0.0000,0.0000,25422071.2920,23786010.9410,0.0000,0.0000,0.0000,0.0000,0.0000,22240463.8240,0.0000,25084521.6980,24923698.1170,0.0000,0.0000,0.0000,26788354.8370,0.0000,0.0000,0.0000,0.0000,23732165.4220,23556439.8310,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,26933744.8800,0.0000,0.0000,25436623.7390,23764038.0100,0.0000,0.0000,0.0000,0.0000,0.0000,22238668.2540,0.0000,25064666.2650,24913815.4470,0.0000,0.0000,0.0000,26770048.1560,0.0000,0.0000,0.0000,0.0000,23717473.2570,23563228.6010,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,26951183.3450,0.0000,0.0000,25451199.9540,23742110.1600,0.0000,0.0000,0.0000,0.0000,0.0000,22236975.3100,0.0000,25044868.7580,24904037.1530,0.0000,0.0000,0.0000,26751810.6150,0.0000,0.0000,0.0000,0.0000,23702820.4590,23570089.2380,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,26968613.2630,0.0000,0.0000,25465798.8690,23720227.9380,0.0000,0.0000,0.0000,0.0000,0.0000,22235384.7600,0.0000,25025127.1460,24894363.7130,0.0000,0.0000,0.0000,26733642.1960,0.0000,0.0000,0.0000,0.0000,23688207.2910,23577021.8480,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,26986033.8620,0.0000,0.0000,25480421.6300,23698391.4330,0.0000,0.0000,0.0000,0.0000,0.0000,22233897.5490,0.0000,25005444.1840,24884795.3520,0.0000,0.0000,0.0000,26715543.4350,0.0000,0.0000,0.0000,0.0000,23673634.3490,23584026.8420,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,27003445.5710,0.0000,0.0000,25495067.8740,23676601.4930,0.0000,0.0000,0.0000,0.0000,0.0000,22232513.0430,0.0000,24985821.1510,24875332.0200,0.0000,0.0000,0.0000,26697513.3070,0.0000,0.0000,0.0000,0.0000,23659101.2130,23591103.4580,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,27020847.5520,0.0000,0.0000,25509737.1710,23654858.0220,0.0000,0.0000,0.0000,0.0000,0.0000,22231231.6820,0.0000,24966257.8130,24865973.2700,0.0000,0.0000,0.0000,26679554.8890,0.0000,0.0000,0.0000,0.0000,23644608.4120,23598251.1790,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,27038238.8260,0.0000,0.0000,25524429.4440,23633161.4780,0.0000,0.0000,0.0000,0.0000,0.0000,22230053.1720,0.0000,24946753.8860,24856719.9590,0.0000,0.0000,0.0000,26661667.9950,0.0000,0.0000,0.0000,0.0000,23630155.6510,23605470.1600,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,27055619.2180,0.0000,0.0000,25539143.8320,23611511.9200,0.0000,0.0000,0.0000,0.0000,0.0000,22228977.5240,0.0000,24927309.9760,24847572.6750,0.0000,0.0000,0.0000,26643852.4890,0.0000,0.0000,0.0000,0.0000,23615742.7650,23612758.9940,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0000,0.0000,27072988.1320,0.0000,0.0000,25553880.2280,23589908.7530,0.0000,0.0000,0.0000,0.0000,0.0000,22228004.3460,0.0000,24907927.0700,24838530.5380,0.0000,0.0000,0.0000,26626107.5980,0.0000,0.0000,0.0000,0.0000,23601369.4600,23620117.5370,0.0000,0.0000,0.0000,0.0000
14,0.0000,0.0000,0.0000,0.0000,27090345.4410,0.0000,0.0000,25568638.5350,23568353.9580,0.0000,0.0000,0.0000,0.0000,0.0000,22227134.3710,0.0000,24888605.7930,24829594.8470,0.0000,0.0000,0.0000,26608435.9710,0.0000,0.0000,0.0000,0.0000,23587037.0460,23627545.8450,0.0000,0.0000,0.0000,0.0000
15,0.0000,0.0000,0.0000,0.0000,27107691.4480,0.0000,0.0000,25583419.3880,23546847.0190,0.0000,0.0000,0.0000,0.0000,0.0000,22226367.1800,0.0000,24869345.9880,24820764.7920,0.0000,0.0000,0.0000,26590836.3960,0.0000,0.0000,0.0000,0.0000,23572745.1900,23635043.6550,0.0000,0.0000,0.0000,0.0000
16,0.0000,0.0000,0.0000,0.0000,27125024.7960,0.0000,0.0000,25598222.3070,23525388.3660,0.0000,0.0000,0.0000,0.0000,0.0000,22225703.2610,0.0000,24850149.4050,24812041.2320,0.0000,0.0000,0.0000,26573310.4250,0.0000,0.0000,0.0000,0.0000,23558493.9610,23642610.9770,0.0000,0.0000,0.0000,0.0000
17,0.0000,0.0000,0.0000,0.0000,27142342.8560,0.0000,0.0000,25613045.7690,23503977.6840,0.0000,0.0000,0.0000,0.0000,0.0000,22225141.7920,0.0000,24831014.9190,24803424.1670,0.0000,0.0000,0.0000,26555857.3360,0.0000,0.0000,0.0000,0.0000,23544282.7240,23650246.0530,0.0000,0.0000,0.0000,0.0000
18,0.0000,0.0000,0.0000,0.0000,27159647.4640,0.0000,0.0000,25627892.1190,23482616.1290,0.0000,0.0000,0.0000,0.0000,0.0000,22224683.3510,0.0000,24811944.4270,24794913.3530,0.0000,0.0000,0.0000,26538477.9210,0.0000,0.0000,0.0000,0.0000,23530112.3000,23657950.1340,0.0000,0.0000,0.0000,0.0000
19,0.0000,0.0000,0.0000,0.0000,27176938.5930,0.0000,0.0000,25642759.8610,23461304.7630,0.0000,0.0000,0.0000,0.0000,0.0000,22224328.4450,0.0000,24792938.5620,24786509.4640,0.0000,0.0000,0.0000,26521174.1720,0.0000,0.0000,0.0000,0.0000,23515983.4490,23665722.3580,0.0000,0.0000,0.0000,0.0000
20,0.0000,0.0000,0.0000,0.0000,27194214.7070,0.0000,0.0000,25657649.1430,23440041.8680,0.0000,0.0000,0.0000,0.0000,0.0000,22224076.8790,0.0000,24773997.7050,24778212.1580,0.0000,0.0000,0.0000,26503944.2330,0.0000,0.0000,0.0000,0.0000,23501895.5190,23673562.3070,0.0000,0.0000,0.0000,0.0000
21,0.0000,0.0000,0.0000,0.0000,27211475.1040,0.0000,0.0000,25672557.9910,23418828.0590,0.0000,0.0000,0.0000,0.0000,0.0000,22223927.3930,0.0000,24755121.1350,24770021.5330,0.0000,0.0000,0.0000,26486789.5990,0.0000,0.0000,0.0000,0.0000,23487847.7370,23681468.8180,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000,27228720.0860,0.0000,0.0000,25687488.0460,23397665.3100,0.0000,0.0000,0.0000,0.0000,0.0000,22223881.2860,0.0000,24736310.8340,24761937.9210,0.0000,0.0000,0.0000,26469711.2750,0.0000,0.0000,0.0000,0.0000,23473841.5380,23689442.8280,0.0000,0.0000,0.0000,0.0000
