P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,25061860.8460,0.0000,0.0000,23638026.1850,22712214.6080,26275496.6950,0.0000,0.0000,0.0000,0.0000,20782701.5650,0.0000,23963046.7690,23623243.8670,0.0000,0.0000,0.0000,25644105.8410,0.0000,0.0000,0.0000,0.0000,22511356.9040,21926381.5910,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,25079357.5120,0.0000,0.0000,23652086.3140,22689406.4000,0.0000,0.0000,0.0000,0.0000,0.0000,20778938.7940,0.0000,23942207.2660,23611370.2300,0.0000,0.0000,0.0000,25624545.8920,0.0000,0.0000,0.0000,0.0000,22495913.0990,21931692.5180,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,25096856.5410,0.0000,0.0000,23666173.7660,22666638.1450,0.0000,0.0000,0.0000,0.0000,0.0000,20775277.9460,0.0000,23921414.3880,23599596.1910,0.0000,0.0000,0.0000,25605045.7850,0.0000,0.0000,0.0000,0.0000,22480507.5870,21937083.4590,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,25114356.9180,0.0000,0.0000,23680288.1200,22643909.2170,0.0000,0.0000,0.0000,0.0000,0.0000,20771718.1520,0.0000,23900668.4860,23587921.9460,0.0000,0.0000,0.0000,25585606.4370,0.0000,0.0000,0.0000,0.0000,22465139.6040,21942552.6640,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,25131858.9860,0.0000,0.0000,23694430.2850,22621221.4630,0.0000,0.0000,0.0000,0.0000,0.0000,20768260.0180,0.0000,23879970.7230,23576348.7760,0.0000,0.0000,0.0000,25566228.3950,0.0000,0.0000,0.0000,0.0000,22449810.0210,21948100.2210,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,25149361.5320,0.0000,0.0000,23708598.9410,22598574.4040,0.0000,0.0000,0.0000,0.0000,0.0000,20764903.8960,0.0000,23859320.6790,23564876.5320,0.0000,0.0000,0.0000,25546911.0940,0.0000,0.0000,0.0000,0.0000,22434518.5150,21953726.1410,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,25166865.0640,0.0000,0.0000,23722795.9650,22575968.2550,0.0000,0.0000,0.0000,0.0000,0.0000,20761650.3420,0.0000,23838719.8670,23553505.8010,0.0000,0.0000,0.0000,25527656.7210,0.0000,0.0000,0.0000,0.0000,22419266.0830,21959430.5100,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,25184368.8800,0.0000,0.0000,23737020.0280,22553404.2860,0.0000,0.0000,0.0000,0.0000,0.0000,20758499.5220,0.0000,23818169.9390,23542237.4930,0.0000,0.0000,0.0000,25508465.8710,0.0000,0.0000,0.0000,0.0000,22404052.9390,21965213.5840,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,25201870.9960,0.0000,0.0000,23751269.5670,22530881.2770,0.0000,0.0000,0.0000,0.0000,0.0000,20755449.4150,0.0000,23797669.0680,23531069.8580,0.0000,0.0000,0.0000,25489337.1490,0.0000,0.0000,0.0000,0.0000,22388877.2180,21971072.7340,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,25219371.1390,0.0000,0.0000,23765544.9630,22508399.1570,0.0000,0.0000,0.0000,0.0000,0.0000,20752501.2110,0.0000,23777218.7190,23520003.8820,0.0000,0.0000,0.0000,25470271.5110,0.0000,0.0000,0.0000,0.0000,22373739.7310,21977007.9800,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,25236868.9180,0.0000,0.0000,23779845.9910,22485958.6320,0.0000,0.0000,0.0000,0.0000,0.0000,20749655.3220,0.0000,23756819.5760,23509039.5760,0.0000,0.0000,0.0000,25451270.2370,0.0000,0.0000,0.0000,0.0000,22358640.9850,21983020.1030,0.0000,0.0000,0.0000,0.0000
