P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,24905899.5050,0.0000,0.0000,23024375.2230,22693555.1730,0.0000,0.0000,0.0000,0.0000,0.0000,20538772.3410,0.0000,24342435.9060,23097309.0840,25289780.8720,0.0000,0.0000,25069248.6700,0.0000,0.0000,0.0000,0.0000,22360381.8740,21438133.0280,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,24927597.0920,0.0000,0.0000,23042551.8440,22672901.6110,0.0000,0.0000,0.0000,0.0000,0.0000,20539180.1130,0.0000,24323496.3630,23089032.5200,25304469.2970,0.0000,0.0000,25052896.6240,0.0000,0.0000,0.0000,0.0000,22347294.9660,21444045.3210,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,24949296.3020,0.0000,0.0000,23060763.4400,22652288.9700,0.0000,0.0000,0.0000,0.0000,0.0000,20539691.4520,0.0000,24304585.0910,23080857.3370,25319224.8770,0.0000,0.0000,25036603.9790,0.0000,0.0000,0.0000,0.0000,22334250.8910,21450048.8960,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,24970999.6800,0.0000,0.0000,23079010.8890,22631714.5790,0.0000,0.0000,0.0000,0.0000,0.0000,20540306.3870,0.0000,24285707.3440,23072782.3700,0.0000,0.0000,0.0000,25020371.4410,0.0000,0.0000,0.0000,0.0000,22321249.5800,21456143.7660,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,24992706.1170,0.0000,0.0000,23097294.8560,22611180.5470,0.0000,0.0000,0.0000,0.0000,0.0000,20541025.0800,0.0000,24266857.9200,23064808.7920,0.0000,0.0000,0.0000,25004200.9460,0.0000,0.0000,0.0000,0.0000,22308291.2880,21462329.4820,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,25014415.4840,0.0000,0.0000,23115614.2660,22590687.1680,0.0000,0.0000,0.0000,0.0000,0.0000,20541847.5330,0.0000,24248041.9440,23056937.9110,0.0000,0.0000,0.0000,24988091.1180,0.0000,0.0000,0.0000,0.0000,22295375.8390,21468605.8130,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,25036122.7340,0.0000,0.0000,23133968.1100,22570234.7040,0.0000,0.0000,0.0000,0.0000,0.0000,20542773.8030,0.0000,24229256.6370,23049169.1150,0.0000,0.0000,0.0000,24972042.2230,0.0000,0.0000,0.0000,0.0000,22282503.8750,21474972.4310,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,25057834.8850,0.0000,0.0000,23152356.1220,22549823.1030,0.0000,0.0000,0.0000,0.0000,0.0000,20543804.0320,0.0000,24210505.0830,23041500.9050,0.0000,0.0000,0.0000,24956055.7240,0.0000,0.0000,0.0000,0.0000,22269675.3290,21481429.0950,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,25079547.2160,0.0000,0.0000,23170780.0330,22529452.6630,0.0000,0.0000,0.0000,0.0000,0.0000,20544938.3130,0.0000,24191786.4870,23033936.9670,0.0000,0.0000,0.0000,24940130.0100,0.0000,0.0000,0.0000,0.0000,22256889.9860,21487976.0600,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,25101258.5510,0.0000,0.0000,23189236.7380,22509124.2050,0.0000,0.0000,0.0000,0.0000,0.0000,20546176.4140,0.0000,24173101.8460,23026475.5050,0.0000,0.0000,0.0000,24924268.1910,0.0000,0.0000,0.0000,0.0000,22244148.2740,21494612.6570,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,25122966.9010,0.0000,0.0000,23207728.3690,22488837.9920,0.0000,0.0000,0.0000,0.0000,0.0000,20547518.6510,0.0000,24154450.6270,23019117.3250,0.0000,0.0000,0.0000,24908469.4160,0.0000,0.0000,0.0000,0.0000,22231450.5680,21501338.4580,0.0000,0.0000,0.0000,0.0000
