P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,23756303.3954,0.0000,0.0000,23990476.5904,22065515.0594,25000809.5714,0.0000,0.0000,0.0000,0.0000,20379385.8284,0.0000,23543773.8514,23549513.9884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21979326.2274,22219771.4954,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,23776777.8684,0.0000,0.0000,24007189.8354,22049429.1534,25021921.3284,0.0000,25284333.7444,0.0000,0.0000,20377019.5894,0.0000,23529512.8654,23538037.9284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21970536.7144,22231982.3944,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,23797269.2524,0.0000,0.0000,24023916.8974,22033383.7844,25043027.1714,0.0000,25262570.8784,0.0000,0.0000,20374741.2154,0.0000,23515306.1934,23526649.5544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21961779.9834,22244260.5264,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,23817781.0404,0.0000,0.0000,24040653.0824,22017378.7064,25064119.2374,0.0000,25240817.9544,0.0000,0.0000,20372550.0994,0.0000,23501152.2644,23515347.8284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21953055.8364,22256602.1974,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,23838308.2144,0.0000,0.0000,24057403.1854,22001414.0164,25085201.1914,0.0000,25219076.5124,0.0000,0.0000,20370447.6844,0.0000,23487054.5684,23504135.6674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21944363.8414,22269009.8484,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,23858852.8244,0.0000,0.0000,24074164.7444,21985491.7824,25106272.3194,0.0000,25197345.9714,0.0000,0.0000,20368433.2454,0.0000,23473010.8684,23493012.3334,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21935706.0924,22281482.4114,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,23879413.0264,0.0000,0.0000,24090935.5334,21969609.5474,25127332.8364,0.0000,25175623.9674,0.0000,0.0000,20366507.0584,0.0000,23459022.7654,23481977.5454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21927079.6544,22294017.3354,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,23899989.0804,0.0000,0.0000,24107718.6684,21953768.5994,25148379.7534,0.0000,25153914.4194,0.0000,0.0000,20364669.9194,0.0000,23445091.4044,23471032.1784,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21918486.6514,22306617.2804,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,23920580.6704,0.0000,0.0000,24124512.3274,21937968.5224,25169414.1224,0.0000,25132217.8724,0.0000,0.0000,20362921.0194,0.0000,23431216.6484,23460176.8064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21909925.7914,22319279.6194,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,23941186.0714,0.0000,0.0000,24141316.0494,21922209.3414,25190434.5064,0.0000,25110528.5054,0.0000,0.0000,20361261.4664,0.0000,23417398.2834,23449407.7574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21901398.2144,22332004.9744,0.0000,0.0000,0.0000,0.0000
