P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,24883323.1244,0.0000,0.0000,23651701.4104,22107860.7874,0.0000,0.0000,0.0000,0.0000,0.0000,20454948.9424,0.0000,0.0000,23137944.8954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21995738.9954,21810262.1204,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,24904692.5924,0.0000,0.0000,23669920.1164,22089471.5914,0.0000,0.0000,0.0000,0.0000,0.0000,20456068.5654,0.0000,23641270.3474,23130328.0664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21984792.7464,21820167.6754,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,24926056.0694,0.0000,0.0000,23688164.0034,22071127.1264,0.0000,0.0000,0.0000,0.0000,0.0000,20457289.0824,0.0000,23624677.3324,23122812.5944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21973887.2484,21830150.8154,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,24947427.4904,0.0000,0.0000,23706429.6484,22052827.8664,0.0000,0.0000,0.0000,0.0000,0.0000,20458609.6044,0.0000,23608132.6234,23115398.0054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21963021.9804,21840209.8954,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,24968795.0294,0.0000,0.0000,23724720.0684,22034574.1734,0.0000,0.0000,0.0000,0.0000,0.0000,20460031.1544,0.0000,23591638.1244,23108087.0964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21952198.9784,21850345.1284,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,24990152.1194,0.0000,0.0000,23743030.7634,22016366.8444,0.0000,0.0000,0.0000,0.0000,0.0000,20461553.1684,0.0000,23575196.6934,23100877.2284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21941415.8594,21860556.5214,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23761362.4924,21998205.7964,0.0000,0.0000,0.0000,0.0000,0.0000,20463175.8454,0.0000,23558808.1294,23093771.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21930674.4824,21870842.9104,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23779720.6994,21980091.6244,0.0000,0.0000,0.0000,0.0000,0.0000,20464899.4114,0.0000,23542469.4064,23086766.4854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21919974.4694,21881205.5674,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23798101.0674,21962022.5754,0.0000,0.0000,0.0000,0.0000,0.0000,20466723.9384,0.0000,23526186.1604,23079868.0604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21909315.4164,21891642.0964,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23816500.7814,21944001.8754,0.0000,0.0000,0.0000,0.0000,0.0000,20468648.9044,0.0000,23509955.5814,23073071.7744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21898698.0724,21902154.0044,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23834920.7894,21926027.1884,0.0000,0.0000,0.0000,0.0000,0.0000,20470675.3004,0.0000,23493779.3734,23066378.3184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21888122.0084,21912739.5024,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23853367.0064,21908100.8104,0.0000,0.0000,0.0000,0.0000,0.0000,20472802.5834,0.0000,23477656.2754,23059787.1934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21877587.4244,21923398.6434,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23871832.3254,21890222.4364,0.0000,0.0000,0.0000,0.0000,0.0000,20475030.4304,0.0000,23461592.2854,23053304.8684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21867094.6344,21934132.4424,0.0000,0.0000,0.0000,0.0000
14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23890316.2434,21872391.9654,0.0000,0.0000,0.0000,0.0000,0.0000,20477359.8804,0.0000,23445581.1214,23046922.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21856643.5214,21944938.2564,0.0000,0.0000,0.0000,0.0000
15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23908825.7164,21854611.3934,0.0000,0.0000,0.0000,0.0000,0.0000,20479790.2244,0.0000,23429627.5584,23040646.6654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21846234.1284,21955817.4734,0.0000,0.0000,0.0000,0.0000
16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23927353.2084,21836877.5114,0.0000,0.0000,0.0000,0.0000,0.0000,20482321.6074,0.0000,23413730.5744,23034474.2934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21835866.6694,21966768.9434,0.0000,0.0000,0.0000,0.0000
17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23945901.9234,21819194.0934,0.0000,0.0000,0.0000,0.0000,0.0000,20484954.2594,0.0000,23397891.2094,23028408.0924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21825540.6334,21977792.0144,0.0000,0.0000,0.0000,0.0000
18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23964470.7724,21801559.5544,0.0000,0.0000,0.0000,0.0000,0.0000,20487688.3714,0.0000,23382110.6604,23022447.7354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21815257.0754,21988887.3834,0.0000,0.0000,0.0000,0.0000
19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23983059.9494,21783973.8394,0.0000,0.0000,0.0000,0.0000,0.0000,20490523.0744,0.0000,23366386.9274,23016591.0684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21805015.7404,22000054.1824,0.0000,0.0000,0.0000,0.0000
20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24001666.6984,21766438.8654,0.0000,0.0000,0.0000,0.0000,0.0000,20493459.4494,0.0000,23350722.6834,23010840.6584,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21794816.6074,22011291.4514,0.0000,0.0000,0.0000,0.0000
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24020295.5904,21748954.7914,0.0000,0.0000,0.0000,0.0000,0.0000,20496497.0054,0.0000,23335117.1914,23005195.7794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21784659.5604,22022599.8444,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24038945.6134,21731521.7464,0.0000,0.0000,0.0000,0.0000,0.0000,20499635.9364,0.0000,23319575.1454,22999658.1614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21774544.8464,22033977.8574,0.0000,0.0000,0.0000,0.0000
23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24057612.5004,21714137.3164,0.0000,0.0000,0.0000,0.0000,0.0000,20502876.0544,0.0000,23304090.1454,22994225.8674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21764472.6334,22045427.2524,0.0000,0.0000,0.0000,0.0000
24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24076302.3344,21696805.3034,0.0000,0.0000,0.0000,0.0000,0.0000,20506217.5174,0.0000,23288670.9644,22988899.2424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21754443.1674,22056945.2174,0.0000,0.0000,0.0000,0.0000
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24095007.3204,21679523.8194,0.0000,0.0000,0.0000,0.0000,0.0000,20509659.9204,0.0000,23273311.3304,22983679.1254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21744456.0184,22068533.0564,0.0000,0.0000,0.0000,0.0000
26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24113729.6834,21662295.1994,0.0000,0.0000,0.0000,0.0000,0.0000,20513204.1854,0.0000,23258014.7774,22978566.7854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21734512.0794,22080189.5924,0.0000,0.0000,0.0000,0.0000
27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24132473.5994,21645118.0414,0.0000,0.0000,0.0000,0.0000,0.0000,20516849.6954,0.0000,23242778.9704,22973560.6834,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21724610.5564,22091914.4414,0.0000,0.0000,0.0000,0.0000
28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24151235.7664,21627993.6724,0.0000,0.0000,0.0000,0.0000,0.0000,20520595.9144,0.0000,23227606.9774,22968661.1994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21714751.3874,22103707.4154,0.0000,0.0000,0.0000,0.0000
29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24170019.1814,21610920.9584,0.0000,0.0000,0.0000,0.0000,0.0000,20524444.1314,0.0000,23212500.2154,22963868.5044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21704936.0834,22115568.3244,0.0000,0.0000,0.0000,0.0000
30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24188815.2284,21593901.7164,0.0000,0.0000,0.0000,0.0000,0.0000,20528393.2694,0.0000,23197458.4174,22959182.8964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21695163.8564,22127496.4964,0.0000,0.0000,0.0000,0.0000
31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24207625.8344,21576935.3244,0.0000,0.0000,0.0000,0.0000,0.0000,20532443.2874,0.0000,23182481.1674,22954605.8574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21685434.2124,22139492.1624,0.0000,0.0000,0.0000,0.0000
32,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24226467.3144,21560023.0414,0.0000,0.0000,0.0000,0.0000,0.0000,20536595.5274,0.0000,23167569.5454,22950136.2924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21675748.0874,22151554.4614,0.0000,0.0000,0.0000,0.0000
