P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,25957811.8730,0.0000,0.0000,24502383.3260,23275748.3240,0.0000,0.0000,0.0000,0.0000,0.0000,21506187.1680,0.0000,24547061.2330,24280167.6320,0.0000,0.0000,0.0000,26236777.2340,0.0000,0.0000,0.0000,0.0000,23137586.5810,22723806.4370,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,25975318.4040,0.0000,0.0000,24516666.8390,23253288.4180,0.0000,0.0000,0.0000,0.0000,0.0000,21503258.5890,0.0000,24526618.9130,24269132.3090,0.0000,0.0000,0.0000,26217733.5060,0.0000,0.0000,0.0000,0.0000,23122463.9710,22729764.4040,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,25992821.9760,0.0000,0.0000,24530975.7900,23230869.3730,0.0000,0.0000,0.0000,0.0000,0.0000,21500431.9540,0.0000,24506227.2140,24258198.7250,0.0000,0.0000,0.0000,26198754.5440,0.0000,0.0000,0.0000,0.0000,23107379.4970,22735798.9170,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,26010323.4180,0.0000,0.0000,24545310.4990,23208493.4270,0.0000,0.0000,0.0000,0.0000,0.0000,21497707.4270,0.0000,24485887.5700,24247367.5920,0.0000,0.0000,0.0000,26179839.0660,0.0000,0.0000,0.0000,0.0000,23092333.5790,22741908.9970,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,26027820.9240,0.0000,0.0000,24559669.9430,23186159.1130,0.0000,0.0000,0.0000,0.0000,0.0000,21495084.2970,0.0000,24465598.6150,24236637.7960,0.0000,0.0000,0.0000,26160987.8350,0.0000,0.0000,0.0000,0.0000,23077326.0790,22748094.3150,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,26045313.8280,0.0000,0.0000,24574054.4710,23163867.3310,0.0000,0.0000,0.0000,0.0000,0.0000,21492563.1200,0.0000,24445361.8620,24226009.8070,0.0000,0.0000,0.0000,26142201.2800,0.0000,0.0000,0.0000,0.0000,23062356.8140,22754354.6830,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,26062802.5810,0.0000,0.0000,24588464.1730,23141618.1110,0.0000,0.0000,0.0000,0.0000,0.0000,21490144.0610,0.0000,24425178.5920,24215484.8840,0.0000,0.0000,0.0000,26123479.3340,0.0000,0.0000,0.0000,0.0000,23047426.0070,22760689.6810,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,26080286.5670,0.0000,0.0000,24602898.8230,23119412.3100,0.0000,0.0000,0.0000,0.0000,0.0000,21487827.1700,0.0000,24405049.1640,24205063.1050,0.0000,0.0000,0.0000,26104823.1100,0.0000,0.0000,0.0000,0.0000,23032534.2630,22767099.1150,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,26097764.6920,0.0000,0.0000,24617358.3440,23097249.8820,0.0000,0.0000,0.0000,0.0000,0.0000,21485612.7700,0.0000,24384973.3360,24194745.0970,0.0000,0.0000,0.0000,26086232.9590,0.0000,0.0000,0.0000,0.0000,23017681.7790,22773582.8770,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,26115237.8350,0.0000,0.0000,24631842.7640,23075131.9480,0.0000,0.0000,0.0000,0.0000,0.0000,21483501.0060,0.0000,24364952.6410,24184530.4580,0.0000,0.0000,0.0000,26067710.3170,0.0000,0.0000,0.0000,0.0000,23002868.3490,22780140.4190,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,26132703.8570,0.0000,0.0000,24646350.2090,23053057.9040,0.0000,0.0000,0.0000,0.0000,0.0000,21481491.0190,0.0000,24344987.3230,24174418.4450,0.0000,0.0000,0.0000,26049254.4920,0.0000,0.0000,0.0000,0.0000,22988093.3770,22786770.9610,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,26150163.8130,0.0000,0.0000,24660881.9570,23031028.1310,0.0000,0.0000,0.0000,0.0000,0.0000,21479583.7470,0.0000,24325078.4950,24164410.7500,0.0000,0.0000,0.0000,26030867.1240,0.0000,0.0000,0.0000,0.0000,22973357.9770,22793475.0100,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0000,0.0000,26167615.2210,0.0000,0.0000,24675436.9250,23009042.4620,0.0000,0.0000,0.0000,0.0000,0.0000,21477778.1450,0.0000,24305224.5470,24154506.2090,0.0000,0.0000,0.0000,26012547.2740,0.0000,0.0000,0.0000,0.0000,22958661.2010,22800251.1690,0.0000,0.0000,0.0000,0.0000
14,0.0000,0.0000,0.0000,0.0000,26185058.4140,0.0000,0.0000,24690014.6140,22987100.9460,0.0000,0.0000,0.0000,0.0000,0.0000,21476074.8080,0.0000,24285427.7830,24144705.3400,0.0000,0.0000,0.0000,25994295.5600,0.0000,0.0000,0.0000,0.0000,22944003.1380,22807099.1560,0.0000,0.0000,0.0000,0.0000
15,0.0000,0.0000,0.0000,0.0000,26202493.1580,0.0000,0.0000,24704616.1380,22965204.6670,0.0000,0.0000,0.0000,0.0000,0.0000,21474473.9900,0.0000,24265687.1580,24135009.6860,0.0000,0.0000,0.0000,25976112.5860,0.0000,0.0000,0.0000,0.0000,22929384.6950,22814019.0180,0.0000,0.0000,0.0000,0.0000
16,0.0000,0.0000,0.0000,0.0000,26219919.0710,0.0000,0.0000,24719240.7840,22943354.5540,0.0000,0.0000,0.0000,0.0000,0.0000,21472976.2590,0.0000,24246005.2890,24125418.8770,0.0000,0.0000,0.0000,25957999.2800,0.0000,0.0000,0.0000,0.0000,22914806.4190,22821011.4110,0.0000,0.0000,0.0000,0.0000
17,0.0000,0.0000,0.0000,0.0000,26237335.4200,0.0000,0.0000,24733888.8250,22921550.3240,0.0000,0.0000,0.0000,0.0000,0.0000,21471580.9880,0.0000,24226382.9790,24115932.7460,0.0000,0.0000,0.0000,25939955.2800,0.0000,0.0000,0.0000,0.0000,22900267.5600,22828075.1430,0.0000,0.0000,0.0000,0.0000
18,0.0000,0.0000,0.0000,0.0000,26254742.4020,0.0000,0.0000,24748559.5680,22899792.3460,0.0000,0.0000,0.0000,0.0000,0.0000,21470288.6180,0.0000,24206819.3770,24106551.0400,0.0000,0.0000,0.0000,25921981.6920,0.0000,0.0000,0.0000,0.0000,22885768.9260,22835209.8810,0.0000,0.0000,0.0000,0.0000
19,0.0000,0.0000,0.0000,0.0000,26272139.1950,0.0000,0.0000,24763253.9210,22878081.7550,0.0000,0.0000,0.0000,0.0000,0.0000,21469099.6660,0.0000,24187316.2510,24097275.3110,0.0000,0.0000,0.0000,25904080.1160,0.0000,0.0000,0.0000,0.0000,22871310.6560,22842416.2800,0.0000,0.0000,0.0000,0.0000
20,0.0000,0.0000,0.0000,0.0000,26289524.8130,0.0000,0.0000,24777970.6050,22856418.5220,0.0000,0.0000,0.0000,0.0000,0.0000,21468014.0730,0.0000,24167873.6700,24088105.8620,0.0000,0.0000,0.0000,25886250.0940,0.0000,0.0000,0.0000,0.0000,22856892.8170,22849693.3140,0.0000,0.0000,0.0000,0.0000
21,0.0000,0.0000,0.0000,0.0000,26306899.0510,0.0000,0.0000,24792709.3750,22834801.6880,0.0000,0.0000,0.0000,0.0000,0.0000,21467030.8930,0.0000,24148492.0930,24079041.6970,0.0000,0.0000,0.0000,25868491.3910,0.0000,0.0000,0.0000,0.0000,22842514.5990,22857039.9680,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000,26324262.8960,0.0000,0.0000,24807470.4560,22813233.1980,0.0000,0.0000,0.0000,0.0000,0.0000,21466151.1210,0.0000,24129172.3000,24070083.7730,0.0000,0.0000,0.0000,25850805.6090,0.0000,0.0000,0.0000,0.0000,22828177.3300,22864456.8280,0.0000,0.0000,0.0000,0.0000
23,0.0000,0.0000,0.0000,0.0000,26341613.5530,0.0000,0.0000,24822253.2230,22791711.9780,0.0000,0.0000,0.0000,0.0000,0.0000,21465373.5460,0.0000,24109913.5210,24061230.8500,0.0000,0.0000,0.0000,25833191.6550,0.0000,0.0000,0.0000,0.0000,22813880.0330,22871942.6720,0.0000,0.0000,0.0000,0.0000
24,0.0000,0.0000,0.0000,0.0000,26358951.7450,0.0000,0.0000,24837057.2170,22770237.7730,0.0000,0.0000,0.0000,0.0000,0.0000,21464698.3040,0.0000,24090716.7130,24052483.8660,0.0000,0.0000,0.0000,25815649.7320,0.0000,0.0000,0.0000,0.0000,22799622.6500,22879497.1680,0.0000,0.0000,0.0000,0.0000
25,0.0000,0.0000,0.0000,0.0000,26376277.1410,0.0000,0.0000,24851883.1410,22748812.4690,0.0000,0.0000,0.0000,0.0000,0.0000,21464126.4720,0.0000,24071582.9800,24043844.1770,0.0000,0.0000,0.0000,25798181.2000,0.0000,0.0000,0.0000,0.0000,22785406.0110,22887120.3470,0.0000,0.0000,0.0000,0.0000
26,0.0000,0.0000,0.0000,0.0000,26393588.2070,0.0000,0.0000,24866730.6340,22727435.8400,0.0000,0.0000,0.0000,0.0000,0.0000,21463657.2460,0.0000,24052512.7900,24035310.0460,0.0000,0.0000,0.0000,25780786.6240,0.0000,0.0000,0.0000,0.0000,22771229.6470,22894812.0010,0.0000,0.0000,0.0000,0.0000
27,0.0000,0.0000,0.0000,0.0000,26410885.5180,0.0000,0.0000,24881599.5000,22706108.6400,0.0000,0.0000,0.0000,0.0000,0.0000,21463291.1750,0.0000,24033507.3650,24026882.9870,0.0000,0.0000,0.0000,25763466.4930,0.0000,0.0000,0.0000,0.0000,22757094.5160,22902572.0350,0.0000,0.0000,0.0000,0.0000
28,0.0000,0.0000,0.0000,0.0000,26428167.3080,0.0000,0.0000,24896490.4910,22684831.2490,0.0000,0.0000,0.0000,0.0000,0.0000,21463028.6490,0.0000,24014566.7620,24018562.5790,0.0000,0.0000,0.0000,25746221.4130,0.0000,0.0000,0.0000,0.0000,22743000.7340,22910399.4510,0.0000,0.0000,0.0000,0.0000
29,0.0000,0.0000,0.0000,0.0000,26445433.5560,0.0000,0.0000,24911401.6730,22663602.2310,0.0000,0.0000,0.0000,0.0000,0.0000,21462868.8670,0.0000,23995690.9050,24010349.3200,0.0000,0.0000,0.0000,25729051.3250,0.0000,0.0000,0.0000,0.0000,22728947.6480,22918294.6300,0.0000,0.0000,0.0000,0.0000
30,0.0000,0.0000,0.0000,0.0000,26462685.3670,0.0000,0.0000,24926333.6730,22642424.0670,0.0000,0.0000,26451128.4700,0.0000,0.0000,21462812.2100,0.0000,23976881.1800,24002242.8700,0.0000,0.0000,0.0000,25711957.0700,0.0000,0.0000,0.0000,0.0000,22714935.6280,22926256.9770,0.0000,0.0000,0.0000,0.0000
31,0.0000,0.0000,0.0000,0.0000,26479922.4070,0.0000,0.0000,24941286.7030,22621296.8550,0.0000,0.0000,26425557.9810,0.0000,0.0000,21462859.1870,0.0000,23958139.0620,23994244.6730,0.0000,0.0000,0.0000,25694939.3880,0.0000,0.0000,0.0000,0.0000,22700965.8850,22934286.4720,0.0000,0.0000,0.0000,0.0000
32,0.0000,0.0000,0.0000,0.0000,26497142.2460,0.0000,0.0000,24956260.1880,22600219.8920,0.0000,26228399.4460,26399994.3680,0.0000,0.0000,21463008.7310,0.0000,23939462.6270,23986353.5180,0.0000,0.0000,0.0000,25677997.7640,0.0000,0.0000,0.0000,0.0000,22687036.7310,22942382.1290,0.0000,0.0000,0.0000,0.0000
33,0.0000,0.0000,0.0000,0.0000,26514346.3470,0.0000,0.0000,24971253.3480,22579193.7150,0.0000,26216522.9370,26374438.9410,0.0000,0.0000,21463261.6060,0.0000,23920853.6620,23978571.1150,0.0000,0.0000,0.0000,25661133.8860,0.0000,0.0000,0.0000,0.0000,22673149.5700,22950544.0830,0.0000,0.0000,0.0000,0.0000
34,0.0000,0.0000,0.0000,0.0000,26531533.9310,0.0000,0.0000,24986267.7530,22558220.0530,0.0000,26204733.1030,26348892.2670,0.0000,0.0000,21463618.3580,0.0000,23902314.6780,23970896.4570,0.0000,0.0000,0.0000,25644347.3450,0.0000,0.0000,0.0000,0.0000,22659305.2440,22958772.2000,0.0000,0.0000,0.0000,0.0000
35,0.0000,0.0000,0.0000,0.0000,26548703.4030,0.0000,0.0000,25001302.3200,22537298.0660,0.0000,26193026.1140,26323353.2120,0.0000,0.0000,21464078.3720,0.0000,23883842.6960,23963329.1440,0.0000,0.0000,0.0000,25627638.3260,0.0000,0.0000,0.0000,0.0000,22645502.2190,22967065.8710,0.0000,0.0000,0.0000,0.0000
36,0.0000,0.0000,0.0000,0.0000,26565854.6480,0.0000,0.0000,25016356.2580,22516427.5390,0.0000,26181399.5590,26297823.6140,0.0000,0.0000,21464640.8660,0.0000,23865440.7140,23955869.9880,0.0000,0.0000,0.0000,25611007.8940,0.0000,0.0000,0.0000,0.0000,22631741.0330,22975424.4350,0.0000,0.0000,0.0000,0.0000
37,0.0000,0.0000,0.0000,0.0000,26582986.6490,0.0000,0.0000,25031430.4660,22495609.7900,0.0000,26169857.8920,26272301.4480,0.0000,0.0000,21465306.8180,0.0000,23847108.6440,23948518.9770,0.0000,0.0000,0.0000,25594455.9800,0.0000,0.0000,0.0000,0.0000,22618022.1430,22983848.0460,0.0000,0.0000,0.0000,0.0000
38,0.0000,0.0000,0.0000,0.0000,26600100.8030,0.0000,0.0000,25046524.2100,22474845.0550,0.0000,26158400.9160,26246789.2860,0.0000,0.0000,21466076.1190,0.0000,23828846.2820,23941276.9330,0.0000,0.0000,0.0000,25577983.2590,0.0000,0.0000,0.0000,0.0000,22604345.4530,22992336.2170,0.0000,0.0000,0.0000,0.0000
39,0.0000,0.0000,0.0000,0.0000,26617195.8310,0.0000,0.0000,25061636.8660,22454132.6590,0.0000,26147028.4570,26221288.2690,0.0000,0.0000,21466948.3690,0.0000,23810656.2260,23934142.6930,0.0000,0.0000,0.0000,25561590.5890,0.0000,0.0000,0.0000,0.0000,22590711.1570,23000888.5370,0.0000,0.0000,0.0000,0.0000
40,0.0000,0.0000,0.0000,0.0000,26634269.7580,0.0000,0.0000,25076768.5120,22433473.8720,0.0000,26135740.1810,26195796.7570,0.0000,0.0000,21467923.3640,0.0000,23792536.1500,23927117.2920,0.0000,0.0000,0.0000,25545277.7280,0.0000,0.0000,0.0000,0.0000,22577118.8560,23009504.2530,0.0000,0.0000,0.0000,0.0000
41,0.0000,0.0000,0.0000,0.0000,26651323.6510,0.0000,0.0000,25091919.5870,22412868.0390,0.0000,0.0000,26170314.9160,0.0000,0.0000,21469001.1220,0.0000,23774487.0420,23920199.8720,0.0000,0.0000,0.0000,25529045.2410,0.0000,0.0000,0.0000,0.0000,22563569.1460,23018182.8490,0.0000,0.0000,0.0000,0.0000
42,0.0000,0.0000,0.0000,0.0000,26668357.1670,0.0000,0.0000,25107089.0470,22392316.2260,0.0000,26113421.6540,26144844.9140,0.0000,0.0000,21470181.6250,0.0000,23756511.2950,23913391.0470,0.0000,0.0000,0.0000,25512893.0900,0.0000,0.0000,0.0000,0.0000,22550062.1620,23026924.9300,0.0000,0.0000,0.0000,0.0000
43,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25122277.8080,22371818.3530,0.0000,26102390.4440,26119384.2900,0.0000,0.0000,21471464.8910,0.0000,23738607.3940,23906690.9840,0.0000,0.0000,0.0000,25496821.0490,0.0000,0.0000,0.0000,0.0000,22536597.1630,23035729.0500,0.0000,0.0000,0.0000,0.0000
44,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25137483.3320,22351374.7350,0.0000,26091445.5090,26093934.7430,0.0000,0.0000,21472850.3930,0.0000,23720776.9130,23900099.6910,0.0000,0.0000,0.0000,25480830.2030,0.0000,0.0000,0.0000,0.0000,22523174.6370,23044595.0340,0.0000,0.0000,0.0000,0.0000
45,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25152707.6510,22330986.4550,0.0000,26080588.5670,26068498.4030,0.0000,0.0000,21474339.2160,0.0000,23703020.6130,23893617.8050,0.0000,0.0000,0.0000,25464922.1550,0.0000,0.0000,0.0000,0.0000,22509795.9030,23053523.8180,0.0000,0.0000,0.0000,0.0000
46,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25167949.5240,22310653.7760,0.0000,26069818.5160,26043073.8050,0.0000,0.0000,21475930.9580,0.0000,23685338.0160,23887244.8860,0.0000,0.0000,0.0000,25449096.0530,0.0000,0.0000,0.0000,0.0000,22496460.1400,23062514.2900,0.0000,0.0000,0.0000,0.0000
47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25183209.8290,22290375.8690,0.0000,26059134.8470,26017660.9780,0.0000,0.0000,21477625.1620,0.0000,23667731.2510,23880980.9130,0.0000,0.0000,0.0000,25433353.1100,0.0000,0.0000,0.0000,0.0000,22483167.4750,23071565.6200,0.0000,0.0000,0.0000,0.0000
48,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25198487.3470,22270152.7330,0.0000,26048538.8290,25992259.7940,0.0000,0.0000,21479420.8790,0.0000,23650197.7780,23874825.5460,0.0000,0.0000,0.0000,25417692.6320,0.0000,0.0000,0.0000,0.0000,22469916.9030,23080676.9460,0.0000,0.0000,0.0000,0.0000
49,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25213782.0760,22249985.6100,0.0000,26038030.1510,25966870.6060,0.0000,0.0000,21481318.4410,0.0000,23632740.2640,23868778.2960,0.0000,0.0000,0.0000,25402114.3650,0.0000,0.0000,0.0000,0.0000,22456709.3110,23089848.7980,0.0000,0.0000,0.0000,0.0000
50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25229093.2260,22229874.5570,0.0000,26027609.7500,25941495.3290,0.0000,0.0000,21483318.3270,0.0000,23615359.9500,23862839.7670,0.0000,0.0000,0.0000,25386620.2820,0.0000,0.0000,0.0000,0.0000,22443545.2860,23099079.6710,0.0000,0.0000,0.0000,0.0000
51,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25244421.9100,22209820.1120,0.0000,26017278.4660,25916134.0300,0.0000,0.0000,21485420.7430,0.0000,23598055.0100,23857010.9290,0.0000,0.0000,0.0000,25371209.5430,0.0000,0.0000,0.0000,0.0000,22430424.5070,23108371.0100,0.0000,0.0000,0.0000,0.0000
52,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25259767.4350,22189822.8800,0.0000,26007037.4720,25890786.7870,0.0000,0.0000,21487625.4040,0.0000,23580828.4990,23851292.1210,0.0000,0.0000,0.0000,25355883.5450,0.0000,0.0000,0.0000,0.0000,22417347.7630,23117722.0140,0.0000,0.0000,0.0000,0.0000
53,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25275129.9380,22169882.4520,0.0000,25996884.3740,25865453.6510,0.0000,0.0000,21489931.7250,0.0000,23563678.3190,23845682.3000,0.0000,0.0000,0.0000,25340642.1700,0.0000,0.0000,0.0000,0.0000,22404314.3610,23127130.9650,0.0000,0.0000,0.0000,0.0000
54,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25290509.0180,22149999.4130,0.0000,25986820.6950,25840134.7270,0.0000,0.0000,21492340.2830,0.0000,23546607.1360,23840181.3970,0.0000,0.0000,0.0000,25325485.8890,0.0000,0.0000,0.0000,0.0000,22391324.6740,23136599.2100,0.0000,0.0000,0.0000,0.0000
55,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25305904.5670,22130174.5260,0.0000,25976847.3550,25814830.5540,0.0000,0.0000,21494850.5880,0.0000,23529615.0480,23834789.2650,0.0000,0.0000,0.0000,25310415.4220,0.0000,0.0000,0.0000,0.0000,22378378.7970,23146125.3910,0.0000,0.0000,0.0000,0.0000
56,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25321315.4130,22110407.4280,0.0000,25966964.2660,25789540.9350,0.0000,0.0000,21497462.2600,0.0000,23512701.3030,23829506.3040,0.0000,0.0000,0.0000,25295430.8600,0.0000,0.0000,0.0000,0.0000,22365476.8390,23155708.9230,0.0000,0.0000,0.0000,0.0000
57,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25336742.4750,22090698.3160,0.0000,25957171.5930,25764266.5260,0.0000,0.0000,21500175.1230,0.0000,23495866.3980,23824332.9550,0.0000,0.0000,0.0000,25280530.7840,0.0000,0.0000,0.0000,0.0000,22352618.2340,23165349.6000,0.0000,0.0000,0.0000,0.0000
58,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25352185.1960,22071047.5410,0.0000,25947469.4720,25739008.5770,0.0000,0.0000,21502989.6450,0.0000,23479112.2790,23819268.6900,0.0000,0.0000,0.0000,25265717.8910,0.0000,0.0000,0.0000,0.0000,22339804.3580,23175047.9200,0.0000,0.0000,0.0000,0.0000
59,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25367642.9010,22051455.9910,0.0000,25937859.0290,25713766.2760,0.0000,0.0000,21505905.1250,0.0000,23462438.6110,23814313.6940,0.0000,0.0000,0.0000,25250991.8290,0.0000,0.0000,0.0000,0.0000,22327034.1570,23184801.9780,0.0000,0.0000,0.0000,0.0000
60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25383115.9730,22031924.1360,0.0000,25928339.3730,25688540.8270,0.0000,0.0000,21508922.5080,0.0000,23445845.8170,23809468.2800,0.0000,0.0000,0.0000,25236353.1950,0.0000,0.0000,0.0000,0.0000,22314308.7920,23194613.3090,0.0000,0.0000,0.0000,0.0000
61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25398604.4680,22012451.4980,0.0000,25918911.1200,25663332.3350,0.0000,0.0000,21512040.9550,0.0000,23429335.1840,23804732.1550,0.0000,0.0000,0.0000,25221802.6130,0.0000,0.0000,0.0000,0.0000,22301627.9030,23204480.6720,0.0000,0.0000,0.0000,0.0000
62,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25414109.0130,21993039.4720,0.0000,25909576.6530,25638141.1530,0.0000,0.0000,21515260.7590,0.0000,23412906.9780,23800106.0220,0.0000,0.0000,0.0000,25207339.9470,0.0000,0.0000,0.0000,0.0000,22288991.8810,23214403.3430,0.0000,0.0000,0.0000,0.0000
