P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,24489527.5104,0.0000,0.0000,23252215.1124,22801994.3684,25654121.0704,0.0000,0.0000,0.0000,0.0000,20616023.6894,0.0000,23669172.9114,23756647.2234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22532486.0794,21671776.8694,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,24510280.1104,0.0000,0.0000,23269093.8564,22782930.1324,25675153.0624,0.0000,0.0000,0.0000,0.0000,20613921.0024,0.0000,23652307.6204,23747101.5104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22520625.8904,21680826.8114,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,24531042.0344,0.0000,0.0000,23286000.6304,22763897.8844,25696165.9514,0.0000,0.0000,0.0000,0.0000,20611917.3274,0.0000,23635489.0344,23737651.0424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22508797.8514,21689953.7474,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,24551812.5674,0.0000,0.0000,23302935.3994,22744900.5134,25717163.1904,0.0000,0.0000,0.0000,0.0000,20610012.3814,0.0000,23618716.7244,23728296.1144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22497002.1984,21699157.2404,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,24572590.5134,0.0000,0.0000,23319899.0034,22725935.1934,25738140.4994,0.0000,0.0000,0.0000,0.0000,20608206.6074,0.0000,23601991.7444,23719035.6644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22485239.4514,21708437.1664,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,24593375.6594,0.0000,0.0000,23336889.0974,22707005.6904,25759099.8074,0.0000,0.0000,0.0000,0.0000,20606500.0184,0.0000,23585315.4814,23709871.5104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22473509.4464,21717793.3284,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,24614170.9454,0.0000,0.0000,23353907.5474,22688108.8084,25780034.9194,0.0000,0.0000,0.0000,0.0000,20604892.9054,0.0000,23568687.8774,23700803.0534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22461812.0704,21727224.7294,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,24634972.7584,0.0000,0.0000,23370951.3414,22669247.4704,25800953.4484,0.0000,0.0000,0.0000,0.0000,20603385.1444,0.0000,23552110.0974,23691831.3154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22450147.9764,21736731.6194,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,24655780.5524,0.0000,0.0000,23388024.7934,22650420.9794,25821851.3154,0.0000,0.0000,0.0000,0.0000,20601977.1564,0.0000,23535582.2694,23682957.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22438516.8234,21746314.1684,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,24676592.1414,0.0000,0.0000,23405125.4624,22631628.5194,25842728.6384,0.0000,0.0000,0.0000,0.0000,20600669.1434,0.0000,23519104.1044,23674177.1314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22426918.4104,21755970.8984,0.0000,0.0000,0.0000,0.0000
