P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,24832558.2034,0.0000,0.0000,23526299.5854,22489724.6664,0.0000,0.0000,0.0000,0.0000,0.0000,20594331.3374,0.0000,23402631.1154,23612181.4084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22342926.7114,21830072.3674,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,24853399.2494,0.0000,0.0000,23543609.2694,22471247.9304,0.0000,0.0000,0.0000,0.0000,0.0000,20593850.7134,0.0000,23386577.4964,23604230.9604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22331606.9614,21840342.1444,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,24874237.9654,0.0000,0.0000,23560944.9094,22452808.2744,0.0000,0.0000,0.0000,0.0000,0.0000,20593471.0184,0.0000,23370579.2334,23596380.5474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22320321.5524,21850683.9284,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,24895078.3734,0.0000,0.0000,23578303.8254,22434406.7444,0.0000,0.0000,0.0000,0.0000,0.0000,20593192.8724,0.0000,23354637.0784,23588629.1754,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22309070.1294,21861096.8394,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,24915918.6274,0.0000,0.0000,23595689.8104,22416043.4904,0.0000,0.0000,0.0000,0.0000,0.0000,20593015.9374,0.0000,23338750.6994,23580978.8554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22297851.5704,21871580.9274,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,24936756.5904,0.0000,0.0000,23613098.6044,22397717.5914,0.0000,0.0000,0.0000,0.0000,0.0000,20592940.6394,0.0000,23322921.8814,23573427.3854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22286667.9084,21882134.6494,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,24957595.0134,0.0000,0.0000,23630534.0854,22379430.5564,0.0000,0.0000,0.0000,0.0000,0.0000,20592966.9864,0.0000,23307151.5154,23565976.9734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22275517.9334,21892758.7794,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,24978429.5174,0.0000,0.0000,23647994.0584,22361182.6714,0.0000,0.0000,0.0000,0.0000,0.0000,20593095.1694,0.0000,23291438.5924,23558626.3304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22264402.4664,21903452.4234,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,24999263.3424,0.0000,0.0000,23665478.0614,22342973.9734,0.0000,0.0000,0.0000,0.0000,0.0000,20593325.0284,0.0000,23275784.8734,23551378.6654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22253320.8824,21914216.0854,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,25020094.1224,0.0000,0.0000,23682985.4584,22324805.2084,0.0000,0.0000,0.0000,0.0000,0.0000,20593656.9864,0.0000,23260190.5984,23544229.8064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22242273.6594,21925048.5094,0.0000,0.0000,0.0000,0.0000
