P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,24172635.4670,0.0000,0.0000,22781863.3420,22157682.4420,25379649.0080,0.0000,0.0000,0.0000,0.0000,20072202.7780,0.0000,23388408.4830,22979336.8090,0.0000,0.0000,0.0000,25061674.0250,0.0000,0.0000,0.0000,0.0000,21893977.2890,21140631.7910,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,24190110.4270,0.0000,0.0000,22795708.2240,22134570.3000,25397180.5370,0.0000,0.0000,0.0000,0.0000,20067636.7020,0.0000,23367231.3740,22966667.4470,0.0000,0.0000,0.0000,25041652.3530,0.0000,0.0000,0.0000,0.0000,21878242.2970,21145298.3450,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,24207591.9610,0.0000,0.0000,22809583.3210,22111495.7660,25414692.5970,0.0000,0.0000,0.0000,0.0000,20063171.2690,0.0000,23346096.6610,22954095.7010,0.0000,0.0000,0.0000,25021687.3770,0.0000,0.0000,0.0000,0.0000,21862544.8750,21150046.8470,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,24225079.7470,0.0000,0.0000,22823487.6240,22088459.1720,25432183.0500,0.0000,0.0000,0.0000,0.0000,20058806.7830,0.0000,23325004.8300,22941620.8380,0.0000,0.0000,0.0000,25001779.4480,0.0000,0.0000,0.0000,0.0000,21846884.5140,21154876.9730,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,24242572.6610,0.0000,0.0000,22837420.0420,22065460.0210,25449651.9830,0.0000,0.0000,0.0000,0.0000,20054542.4720,0.0000,23303956.1370,22929244.5570,0.0000,0.0000,0.0000,24981928.1670,0.0000,0.0000,0.0000,0.0000,21831261.2050,21159787.8260,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,24260069.6100,0.0000,0.0000,22851380.8750,22042498.5260,25467100.0800,0.0000,0.0000,0.0000,0.0000,20050378.4050,0.0000,23282950.5910,22916967.2010,0.0000,0.0000,0.0000,24962133.6000,0.0000,0.0000,0.0000,0.0000,21815674.8300,21164778.8860,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,24277571.1890,0.0000,0.0000,22865369.4320,22019574.0640,25484525.0450,0.0000,0.0000,0.0000,0.0000,20046314.9130,0.0000,23261988.3090,22904788.0960,0.0000,0.0000,0.0000,24942396.9120,0.0000,0.0000,0.0000,0.0000,21800124.9400,21169849.5010,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,24295075.7470,0.0000,0.0000,22879386.0920,21996689.1450,25501927.8850,0.0000,0.0000,0.0000,0.0000,20042352.2310,0.0000,23241071.3920,22892707.5440,0.0000,0.0000,0.0000,24922718.6190,0.0000,0.0000,0.0000,0.0000,21784612.7070,21175000.3150,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,24312583.7050,0.0000,0.0000,22893430.8850,21973842.5170,25519306.3240,0.0000,0.0000,0.0000,0.0000,20038490.0860,0.0000,23220199.3500,22880725.6340,0.0000,0.0000,0.0000,24903099.4050,0.0000,0.0000,0.0000,0.0000,21769137.8680,21180230.1150,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,24330093.4690,0.0000,0.0000,22907502.6880,21951034.7390,25536662.0310,0.0000,0.0000,0.0000,0.0000,20034728.3110,0.0000,23199373.0060,22868842.4820,0.0000,0.0000,0.0000,24883539.2710,0.0000,0.0000,0.0000,0.0000,21753700.2270,21185538.5910,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,24347605.6080,0.0000,0.0000,22921602.0280,21928266.4050,0.0000,0.0000,0.0000,0.0000,0.0000,20031068.3620,0.0000,23178593.3640,22857059.4760,0.0000,0.0000,0.0000,24864039.2420,0.0000,0.0000,0.0000,0.0000,21738300.6820,21190926.8260,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,24365119.4460,0.0000,0.0000,22935729.3150,21905537.9170,0.0000,0.0000,0.0000,0.0000,0.0000,20027510.0140,0.0000,23157860.8740,22845377.1240,0.0000,0.0000,0.0000,24844599.0540,0.0000,0.0000,0.0000,0.0000,21722939.0780,21196393.8720,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0000,0.0000,24382634.6810,0.0000,0.0000,22949883.0650,21882849.6060,0.0000,0.0000,0.0000,0.0000,0.0000,20024052.7690,0.0000,23137175.9560,22833795.2690,0.0000,0.0000,0.0000,24825220.2600,0.0000,0.0000,0.0000,0.0000,21707615.6200,21201939.0360,0.0000,0.0000,0.0000,0.0000
14,0.0000,0.0000,0.0000,0.0000,24400151.9580,0.0000,0.0000,22964064.8500,21860202.6450,0.0000,0.0000,0.0000,0.0000,0.0000,20020698.3360,0.0000,23116539.8220,22822314.7610,0.0000,0.0000,0.0000,24805903.2810,0.0000,0.0000,0.0000,0.0000,21692330.6880,21207563.4020,0.0000,0.0000,0.0000,0.0000
15,0.0000,0.0000,0.0000,0.0000,24417669.4890,0.0000,0.0000,22978273.9870,21837596.7110,0.0000,0.0000,0.0000,0.0000,0.0000,20017445.9640,0.0000,23095952.1590,22810935.1510,0.0000,0.0000,0.0000,24786648.7030,0.0000,0.0000,0.0000,0.0000,21677084.4980,21213265.8280,0.0000,0.0000,0.0000,0.0000
