P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,23422029.7844,0.0000,0.0000,23724397.5974,22338636.2194,24637232.7044,0.0000,0.0000,0.0000,0.0000,20429745.2504,0.0000,23782013.7514,23750122.3914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22127486.1694,22028876.0054,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,23442123.1544,0.0000,0.0000,23740909.4444,22321905.5374,24658440.0704,0.0000,0.0000,0.0000,0.0000,20425989.2254,0.0000,23766974.7764,23737262.3124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22118157.6254,22039956.7134,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,23462245.2124,0.0000,0.0000,23757434.0584,22305209.9114,24679646.2894,0.0000,0.0000,0.0000,0.0000,20422317.1804,0.0000,23751982.1374,23724482.4294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22108862.9314,22051109.5894,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,23482392.3974,0.0000,0.0000,23773972.1654,22288554.4904,24700852.1384,0.0000,0.0000,0.0000,0.0000,20418729.3544,0.0000,23737032.9374,23711784.6904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22099600.1354,22062334.2354,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,23502566.6684,0.0000,0.0000,23790522.9204,22271937.4254,24722052.4524,0.0000,0.0000,0.0000,0.0000,20415226.1744,0.0000,23722130.7164,23699168.1784,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22090372.2584,22073630.7834,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,23522766.7114,0.0000,0.0000,23807089.4124,22255356.5944,24743250.6314,0.0000,0.0000,0.0000,0.0000,20411807.2714,0.0000,23707273.7324,23686637.4584,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22081175.7714,22084996.9164,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,23542992.3824,0.0000,0.0000,23823666.5264,22238815.1344,24764444.9674,0.0000,0.0000,0.0000,0.0000,20408473.2784,0.0000,23692463.0634,23674187.1254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22072013.7344,22096434.4744,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,23563242.0964,0.0000,0.0000,23840257.8054,22222310.3884,24785633.8764,0.0000,0.0000,0.0000,0.0000,20405224.4374,0.0000,23677700.7854,23661819.7454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22062883.4054,22107941.2804,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,23583516.6754,0.0000,0.0000,23856863.6404,22205845.5374,24806819.0354,0.0000,0.0000,0.0000,0.0000,20402060.8414,0.0000,23662985.0094,23649535.1964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22053787.0334,22119518.4094,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,23603814.3634,0.0000,0.0000,23873479.8594,22189417.0764,24827998.4674,0.0000,0.0000,0.0000,0.0000,20398983.1194,0.0000,23648318.0064,23637336.7214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22044722.7914,22131164.8064,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,23624134.4384,0.0000,0.0000,23890109.9194,22173030.4624,24849173.1054,0.0000,0.0000,0.0000,0.0000,20395991.2024,0.0000,23633701.0284,23625223.0714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22035692.1224,22142879.9694,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,23644477.0984,0.0000,0.0000,23906751.6664,22156681.7784,24870340.4244,0.0000,25412777.2734,0.0000,0.0000,20393085.0534,0.0000,23619131.9364,23613191.9884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22026694.0884,22154663.7654,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0000,0.0000,23664843.0144,0.0000,0.0000,23923407.1574,22140371.1144,24891500.1964,0.0000,25390961.4034,0.0000,0.0000,20390265.3284,0.0000,23604613.7274,23601246.6684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22017729.2054,22166515.0014,0.0000,0.0000,0.0000,0.0000
14,0.0000,0.0000,0.0000,0.0000,23685228.0694,0.0000,0.0000,23940074.2454,22124101.6604,24912654.8264,0.0000,25369153.2254,0.0000,0.0000,20387531.7874,0.0000,23590145.4354,23589387.8044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22008796.9444,22178434.7944,0.0000,0.0000,0.0000,0.0000
15,0.0000,0.0000,0.0000,0.0000,23705634.9124,0.0000,0.0000,23956753.6724,22107870.7734,24933801.9314,0.0000,25347353.7574,0.0000,0.0000,20384885.1784,0.0000,23575729.0264,23577614.5714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21999898.0334,22190421.4844,0.0000,0.0000,0.0000,0.0000
16,0.0000,0.0000,0.0000,0.0000,23726064.0204,0.0000,0.0000,23973446.1284,22091680.5714,24954939.3904,0.0000,25325560.5844,0.0000,0.0000,20382326.4024,0.0000,23561364.5034,23565929.4784,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21991032.0144,22202475.6484,0.0000,0.0000,0.0000,0.0000
17,0.0000,0.0000,0.0000,0.0000,23746509.8314,0.0000,0.0000,23990150.2324,22075530.9264,24976071.1194,0.0000,25303779.6784,0.0000,0.0000,20379854.3584,0.0000,23547052.5494,23554327.6314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21982198.9834,22214595.9974,0.0000,0.0000,0.0000,0.0000
18,0.0000,0.0000,0.0000,0.0000,23766976.8234,0.0000,0.0000,24006865.9954,22059419.8644,24997191.5324,0.0000,25282006.2074,0.0000,0.0000,20377469.1174,0.0000,23532793.7814,23542815.1504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21973398.4154,22226782.6454,0.0000,0.0000,0.0000,0.0000
19,0.0000,0.0000,0.0000,0.0000,23787461.6544,0.0000,0.0000,24023593.6724,22043348.1554,25018302.3374,0.0000,0.0000,0.0000,0.0000,20375171.5454,0.0000,23518586.9624,23531389.4704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21964630.3974,22239035.3554,0.0000,0.0000,0.0000,0.0000
20,0.0000,0.0000,0.0000,0.0000,23807964.7124,0.0000,0.0000,24040330.8984,22027318.0224,25039404.3314,0.0000,25238485.6144,0.0000,0.0000,20372961.4874,0.0000,23504434.1814,23520050.0664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21955895.2604,22251353.0374,0.0000,0.0000,0.0000,0.0000
21,0.0000,0.0000,0.0000,0.0000,23828485.6394,0.0000,0.0000,24057082.2484,22011328.7114,25060495.2054,0.0000,25216740.4464,0.0000,0.0000,20370839.8904,0.0000,23490337.3094,23508800.6634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21947193.5484,22263736.1194,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000,23849023.0144,0.0000,0.0000,24073843.9424,21995379.0674,25081574.8364,0.0000,25195006.4114,0.0000,0.0000,20368806.3474,0.0000,23476294.6914,23497638.6234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21938524.0214,22276183.7884,0.0000,0.0000,0.0000,0.0000
23,0.0000,0.0000,0.0000,0.0000,23869576.4634,0.0000,0.0000,24090617.5774,21979470.4114,25102643.1004,0.0000,25173280.2444,0.0000,0.0000,20366860.7644,0.0000,23462306.8164,23486566.3884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21929887.2104,22288694.6124,0.0000,0.0000,0.0000,0.0000
