P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,24660751.5344,0.0000,0.0000,23388359.7124,22644674.8454,25833635.9834,0.0000,0.0000,0.0000,0.0000,20601901.1724,0.0000,23534246.7544,23681173.6144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22436609.7514,21748416.3444,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,24681563.6404,0.0000,0.0000,23405459.9714,22625893.7394,25854504.0754,0.0000,0.0000,0.0000,0.0000,20600604.5584,0.0000,23517768.2504,23672415.4464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22425017.4444,21758087.6854,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,24702382.3554,0.0000,0.0000,23422585.8944,22607149.1294,25875347.0884,0.0000,0.0000,0.0000,0.0000,20599407.8614,0.0000,23501340.6094,23663755.0734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22413457.7034,21767833.2684,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,24723207.3094,0.0000,0.0000,23439739.2864,22588440.6444,25896172.8394,0.0000,0.0000,0.0000,0.0000,20598311.4044,0.0000,23484965.3474,23655192.3064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22401931.5574,21777652.5674,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,24744034.2074,0.0000,0.0000,23456918.9984,22569767.5834,0.0000,0.0000,0.0000,0.0000,0.0000,20597315.1514,0.0000,23468642.7244,23646726.8484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22390439.0974,21787545.6814,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,24764866.8724,0.0000,0.0000,23474125.2144,22551129.9624,0.0000,0.0000,0.0000,0.0000,0.0000,20596419.7044,0.0000,23452371.9244,23638360.3574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22378979.3934,21797511.8454,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,24785699.8544,0.0000,0.0000,23491357.1294,22532528.6754,0.0000,0.0000,0.0000,0.0000,0.0000,20595624.5204,0.0000,23436154.6584,23630090.3674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22367553.3624,21807551.3004,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,24806536.0184,0.0000,0.0000,23508614.8874,22513965.3494,0.0000,0.0000,0.0000,0.0000,0.0000,20594930.3114,0.0000,23419991.1874,23621921.3664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22356160.8044,21817663.0124,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,24827373.6704,0.0000,0.0000,23525898.7604,22495438.2564,0.0000,0.0000,0.0000,0.0000,0.0000,20594336.8304,0.0000,23403881.7754,23613849.0214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22344801.7804,21827847.0854,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,24848214.5144,0.0000,0.0000,23543208.8404,22476948.7594,0.0000,0.0000,0.0000,0.0000,0.0000,20593844.4114,0.0000,23387828.2984,23605877.3734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22333475.9414,21838103.1104,0.0000,0.0000,0.0000,0.0000
