P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,23925791.6074,0.0000,0.0000,24124765.0474,21932997.1374,25181993.5454,0.0000,25133125.7094,0.0000,0.0000,20362723.9444,0.0000,23429689.6714,23457828.3614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21908516.4054,22321995.8584,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,23946400.4504,0.0000,0.0000,24141566.9224,21917252.8434,25203006.7674,0.0000,25111438.5004,0.0000,0.0000,20361074.3774,0.0000,23415871.2954,23447081.7474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21899994.2714,22334734.2524,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,23967021.6384,0.0000,0.0000,24158381.2904,21901551.0514,25224007.9664,0.0000,25089766.3824,0.0000,0.0000,20359513.8044,0.0000,23402112.0054,23436427.8624,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21891504.4844,22347533.7154,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,23987659.0704,0.0000,0.0000,24175205.3684,21885890.5344,25244992.3704,0.0000,25068106.5684,0.0000,0.0000,20358042.7384,0.0000,23388410.0674,23425863.5504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21883047.5504,22360395.5274,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,24008306.2584,0.0000,0.0000,24192042.0324,21870271.7504,25265966.7844,0.0000,25046461.6884,0.0000,0.0000,20356661.6774,0.0000,23374769.7124,23415389.7774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21874623.9274,22373318.9954,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,24028966.8964,0.0000,0.0000,24208888.1334,21854696.2094,25286925.8644,0.0000,25024826.8264,0.0000,0.0000,20355370.4034,0.0000,23361187.5034,23405008.8634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21866232.2934,22386303.8344,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,24049639.6694,0.0000,0.0000,24225743.4094,21839162.4414,25307864.5614,0.0000,25003207.6624,0.0000,0.0000,20354168.9934,0.0000,23347664.4404,23394719.0964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21857873.5614,22399349.6044,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,24070321.2624,0.0000,0.0000,24242610.2074,21823671.6304,25328789.5414,0.0000,24981603.3034,0.0000,0.0000,20353057.6424,0.0000,23334202.5334,23384519.5474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21849546.7474,22412455.3284,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,24091016.2144,0.0000,0.0000,24259486.7054,21808223.1784,25349694.6374,0.0000,24960012.4524,0.0000,0.0000,20352037.3814,0.0000,23320803.0554,23374417.4184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21841253.3774,22425621.5154,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,24111720.9374,0.0000,0.0000,24276372.2834,21792817.4034,25370583.5584,0.0000,24938438.8414,0.0000,0.0000,20351107.1554,0.0000,23307463.5424,23364403.5094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21832991.9594,22438846.9144,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,24132433.9894,0.0000,0.0000,24293269.5314,21777455.0124,25391459.9874,0.0000,24916877.8734,0.0000,0.0000,20350267.3464,0.0000,23294187.1004,23354483.4024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21824762.7254,22452130.8834,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,24153157.1614,0.0000,0.0000,24310176.4304,21762136.0624,25412314.7754,0.0000,24895332.4844,0.0000,0.0000,20349519.2164,0.0000,23280973.5974,23344657.6674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21816567.1904,22465474.8824,0.0000,0.0000,0.0000,0.0000
